agent	metric	human_median	agent_median	median_delta	hl_delta	ci_lo	ci_hi	wilcoxon_p_greater	n_pairs
Browser-Use	M_P	337.0	98.75	-95.75	-113.0	-131.75	-53.0	0.99999999578391	220
Browser-Use	M_T	3.0	11.0	9.0	7.75	7.0	11.0	3.103110216391385e-07	220
Browser-Use	M_X	0.0	0.5	0.0	1.0	0.0	1.0	2.3659820181973425e-08	220
Browser-Use	M_F	0.0	0.0	0.0	0.0	0.0	0.0	0.9944369147778913	220
Fara-7B	M_P	337.0	362.5	-12.5	-25.25	-29.0	-6.0	0.9999138918028496	220
Fara-7B	M_T	3.0	11.5	8.0	8.0	8.0	8.0	4.1286392415816654e-15	220
Fara-7B	M_X	0.0	1.75	1.5	1.5	1.0	1.5	6.952087555522279e-21	220
Fara-7B	M_F	0.0	2.5	0.0	0.75	0.0	0.0	3.0447381091709367e-07	220
GUI-Owl-8B	M_P	337.0	47.25	-231.0	-264.25	-290.5	-174.0	1.0	220
GUI-Owl-8B	M_T	3.0	9.0	1.5	4.0	1.5	4.0	6.094494185983305e-08	220
GUI-Owl-8B	M_X	0.0	0.5	0.0	0.0	0.0	0.0	0.3233179978932663	220
GUI-Owl-8B	M_F	0.0	0.0	0.0	0.0	0.0	0.0	0.9996698882169558	220
OpenCUA-7B	M_P	337.0	97.0	-21.5	-19.0	-68.0	-12.0	0.8598573073139182	220
OpenCUA-7B	M_T	3.0	7.5	4.0	6.0	4.0	8.0	8.495112757550857e-11	220
OpenCUA-7B	M_X	0.0	0.5	0.0	2.5	0.0	1.0	2.0080824400602472e-13	220
OpenCUA-7B	M_F	0.0	0.0	0.0	0.0	0.0	0.0	0.999861936527451	220
SoM-GLM	M_P	337.0	43.25	-246.0	-284.5	-309.0	-187.5	1.0	220
SoM-GLM	M_T	3.0	9.0	0.0	3.5	0.0	7.0	0.03030689872056516	220
SoM-GLM	M_X	0.0	0.5	0.0	0.0	0.0	0.0	0.3233179978932663	220
SoM-GLM	M_F	0.0	0.0	0.0	-0.5	0.0	0.0	0.9999999981882839	220
SoM-GPT-5	M_P	337.0	99.75	-131.75	-158.0	-161.5	-107.5	1.0	220
SoM-GPT-5	M_T	3.0	9.25	8.0	4.75	7.0	8.0	3.746805392074951e-11	220
SoM-GPT-5	M_X	0.0	1.0	1.0	0.75	1.0	1.0	2.3170998994270342e-10	220
SoM-GPT-5	M_F	0.0	0.0	0.0	-0.5	0.0	0.0	0.9999999967729879	220
UI-TARS	M_P	337.0	45.5	-197.75	-253.25	-278.0	-165.75	1.0	220
UI-TARS	M_T	3.0	6.5	0.5	1.25	0.0	1.5	0.08541781800090636	220
UI-TARS	M_X	0.0	0.25	0.0	0.0	0.0	0.0	0.02570212648052689	220
UI-TARS	M_F	0.0	0.0	0.0	0.0	0.0	0.0	0.9999988895587998	220
