agent,condition,n,pseudo_median,pseudo_mean,duration_median_s,duration_mean_s,third_party_hosts_median,third_party_hosts_mean,blocks_offdomain_mean,blocks_search_mean,blocks_cmp_mean,rc0_pct,task_success_pct
browser-use,C0,643,346,436,43.7,45.8,20,42,0,0,0,100.0,99.5
browser-use,C2,643,64,166,41.9,45.6,10,21,5.57,0,0,100.0,99.8
browser-use,C5,643,285,393,45.4,46.8,17,35,0,0,0,100.0,99.7
browser-use,C7,643,54,164,40.4,44.0,11,19,5.86,0,0.43,100.0,99.8
browser-use,C8,643,105,200,36.6,36.9,11,23,5.34,0.67,0.61,100.0,99.7
fara-7b,C0,643,317,513,53.0,48.1,21,51,0,0,0,100.0,54.6
fara-7b,C2,643,122,237,50.7,47.6,8,25,6.89,0,0,99.7,41.5
fara-7b,C5,643,320,542,53.4,48.0,16,55,0,0,0,99.4,53.0
fara-7b,C7,643,98,195,50.0,45.9,8,19,5.46,0,0.71,99.8,43.2
fara-7b,C8,643,132,206,52.3,47.3,8,21,5.18,2.01,0.71,100.0,42.0
