subgroup,category,MH_odds_ratio,CMH_chi2,CMH_p_raw,CMH_p_holm,direction,n_strata
ablated_agents,cross_device_acr,0.0,18.1592,2.0318331599178936e-05,0.00012190998959507363,agent>human,10
ablated_agents,native_recommendation,0.13636363636363638,7.1819,0.0073643067175964225,0.03682153358798211,agent>human,10
ablated_agents,identity_resolution,0.7636363636363637,0.1326,0.7157225715309696,1.0,agent>human,10
ablated_agents,audience_measurement,0.48936170212765956,1.4321,0.23141460590654633,0.6942438177196391,agent>human,10
ablated_agents,other,0.0,31.4627,2.033069201269255e-08,1.4231484408884786e-07,agent>human,10
ablated_agents,open_rtb_exchange,1.3636363636363635,0.3043,0.5811849553525303,1.0,human>agent,10
ablated_agents,platform_first_party_ad,3.095238095238096,4.0456,0.04428667535378485,0.1771467014151394,human>agent,10
nav_heavy,cross_device_acr,0.0,21.5764,3.400017629475675e-06,2.040010577685405e-05,agent>human,10
nav_heavy,native_recommendation,0.13636363636363638,9.8814,0.0016695577878868852,0.006678231151547541,agent>human,10
nav_heavy,identity_resolution,0.7159090909090909,0.5581,0.455032401528668,1.0,agent>human,10
nav_heavy,audience_measurement,0.6376811594202898,0.7961,0.3722713400927087,1.0,agent>human,10
nav_heavy,other,0.015673981191222573,36.3098,1.6831157723424089e-09,1.1781810406396862e-08,agent>human,10
nav_heavy,open_rtb_exchange,1.1969696969696968,0.0696,0.791872619768253,1.0,human>agent,10
nav_heavy,platform_first_party_ad,5.190476190476191,10.7362,0.0010506088361765926,0.005253044180882963,human>agent,10
all_seven_agents,cross_device_acr,0.0,27.2971,1.7447732965059977e-07,8.723866482529989e-07,agent>human,10
all_seven_agents,native_recommendation,0.14685314685314685,14.5831,0.00013410886648148668,0.0005364354659259467,agent>human,10
all_seven_agents,identity_resolution,0.8909090909090908,0.0446,0.8327891702404121,1.0,agent>human,10
all_seven_agents,audience_measurement,0.8767123287671232,0.0538,0.8165317347200005,1.0,agent>human,10
all_seven_agents,other,0.1410459587955626,32.2,1.3908941236274295e-08,9.736258865392006e-08,agent>human,10
all_seven_agents,open_rtb_exchange,1.2377622377622375,0.3473,0.5556458698135838,1.0,human>agent,10
all_seven_agents,platform_first_party_ad,12.523809523809522,28.0418,1.1872072357795985e-07,7.123243414677592e-07,human>agent,10
