cohort,id,task_id,M_P,M_T,M_X,M_F,n_records
human,P001,Amazon--32,425,5,0,0,1119
human,P001,Apple--29,245,2,0,0,284
human,P001,ArXiv--17,14,0,0,0,162
human,P001,Booking--3,824,35,1,4,1748
human,P001,Coursera--21,531,27,1,0,1062
human,P001,GitHub--35,91,2,0,0,412
human,P001,Google Flights--34,189,2,0,0,343
human,P001,Google Map--35,1153,3,0,71,1405
human,P001,Google Search--28,739,135,2,0,1699
human,P001,Huggingface--14,30,0,0,4,167
human,P002,Amazon--32,430,5,0,0,1099
human,P002,Apple--29,185,2,1,0,243
human,P002,ArXiv--17,9,0,0,0,79
human,P002,Booking--3,1151,35,1,4,2237
human,P002,Coursera--21,848,27,1,0,1417
human,P002,GitHub--35,103,2,1,0,420
human,P002,Google Flights--34,526,19,1,10,771
human,P002,Google Map--35,972,3,0,40,1113
human,P002,Google Search--28,473,127,3,4,1010
human,P002,Huggingface--14,38,0,0,4,154
human,P003,Amazon--32,368,5,0,2,1154
human,P003,Apple--29,211,3,0,2,363
human,P003,ArXiv--17,13,0,0,0,132
human,P003,Booking--3,466,31,0,0,948
human,P003,Coursera--21,514,27,1,0,1024
human,P003,GitHub--35,85,2,1,0,358
human,P003,Google Flights--34,161,2,0,0,317
human,P003,Google Map--35,977,3,0,38,1174
human,P003,Google Search--28,498,122,3,0,984
human,P003,Huggingface--14,36,0,0,4,153
human,P004,Amazon--32,637,4,0,0,1254
human,P004,Apple--29,244,2,0,0,310
human,P004,ArXiv--17,11,0,0,0,132
human,P004,Booking--3,848,32,0,4,1748
human,P004,Coursera--21,483,27,1,0,986
human,P004,GitHub--35,116,2,1,0,454
human,P004,Google Flights--34,383,9,5,7,688
human,P004,Google Map--35,521,3,0,80,713
human,P004,Google Search--28,381,112,1,0,811
human,P004,Huggingface--14,39,0,0,4,211
human,P005,Amazon--32,385,4,0,0,993
human,P005,Apple--29,431,8,2,0,533
human,P005,ArXiv--17,11,0,0,0,241
human,P005,Booking--3,789,35,1,4,1675
human,P005,Coursera--21,742,27,1,0,1175
human,P005,GitHub--35,510,11,4,0,1289
human,P005,Google Flights--34,1331,30,1,10,1914
human,P005,Google Map--35,576,3,0,72,811
human,P005,Google Search--28,729,122,4,4,1346
human,P005,Huggingface--14,271,5,1,4,499
human,P006,Amazon--32,236,6,0,0,870
human,P006,Apple--29,344,7,3,0,492
human,P006,ArXiv--17,0,0,0,0,72
human,P006,Booking--3,459,32,1,0,996
human,P006,Coursera--21,528,27,1,0,966
human,P006,GitHub--35,84,2,0,0,352
human,P006,Google Flights--34,129,2,0,0,245
human,P006,Google Map--35,738,3,0,45,884
human,P006,Google Search--28,397,95,2,0,793
human,P006,Huggingface--14,37,0,0,4,151
human,P007,Amazon--32,416,4,0,0,1060
human,P007,Apple--29,324,2,0,0,379
human,P007,ArXiv--17,20,4,0,0,120
human,P007,Booking--3,791,32,1,4,1667
human,P007,Coursera--21,447,27,1,0,894
human,P007,GitHub--35,112,3,0,0,418
human,P007,Google Flights--34,177,2,0,0,331
human,P007,Google Map--35,602,3,0,106,748
human,P007,Google Search--28,482,134,2,4,1005
human,P007,Huggingface--14,29,0,0,4,158
human,P008,Amazon--32,358,4,0,0,906
human,P008,Apple--29,225,2,1,5,282
human,P008,ArXiv--17,94,26,5,0,369
human,P008,Booking--3,1130,35,0,6,2576
human,P008,Coursera--21,899,27,1,0,1741
human,P008,GitHub--35,206,2,1,0,764
human,P008,Google Flights--34,167,2,0,0,318
human,P008,Google Map--35,599,3,0,80,769
human,P008,Google Search--28,462,123,2,0,924
human,P008,Huggingface--14,26,0,0,4,177
human,P009,Amazon--32,298,5,0,0,920
human,P009,Apple--29,170,2,0,0,222
human,P009,ArXiv--17,10,1,0,0,167
human,P009,Booking--3,726,32,0,2,1509
human,P009,Coursera--21,525,27,1,0,1041
human,P009,GitHub--35,85,2,1,0,352
human,P009,Google Flights--34,148,2,0,0,299
human,P009,Google Map--35,540,3,0,82,678
human,P009,Google Search--28,156,9,1,0,277
human,P009,Huggingface--14,32,0,0,4,158
human,P010,Amazon--32,332,5,0,0,934
human,P010,Apple--29,320,2,0,0,377
human,P010,ArXiv--17,15,0,0,0,286
human,P010,Booking--3,911,34,0,4,1867
human,P010,Coursera--21,624,27,1,0,1160
human,P010,GitHub--35,117,2,0,0,444
human,P010,Google Flights--34,157,2,0,0,309
human,P010,Google Map--35,430,3,0,81,625
human,P010,Google Search--28,529,138,3,0,1143
human,P010,Huggingface--14,36,0,0,4,154
human,P011,Amazon--32,293,5,0,0,1018
human,P011,Apple--29,419,3,0,5,621
human,P011,ArXiv--17,12,0,0,0,139
human,P011,Booking--3,490,31,0,0,1025
human,P011,Coursera--21,517,27,1,0,999
human,P011,GitHub--35,134,2,1,0,468
human,P011,Google Flights--34,155,2,0,0,308
human,P011,Google Map--35,961,3,0,36,1151
human,P011,Google Search--28,351,63,2,43,951
human,P011,Huggingface--14,30,0,0,4,153
human,P012,Amazon--32,311,7,0,0,952
human,P012,Apple--29,197,2,0,0,204
human,P012,ArXiv--17,8,0,0,0,126
human,P012,Booking--3,862,32,1,2,1777
human,P012,Coursera--21,605,27,1,0,1055
human,P012,GitHub--35,192,4,0,0,564
human,P012,Google Flights--34,198,2,0,0,350
human,P012,Google Map--35,719,3,0,39,896
human,P012,Google Search--28,342,27,1,0,492
human,P012,Huggingface--14,36,0,0,4,159
human,P013,Amazon--32,402,4,0,0,1053
human,P013,Apple--29,273,3,0,2,426
human,P013,ArXiv--17,9,0,0,0,128
human,P013,Booking--3,623,30,1,2,1409
human,P013,Coursera--21,1105,27,1,0,1916
human,P013,GitHub--35,93,2,1,0,326
human,P013,Google Flights--34,183,2,0,0,334
human,P013,Google Map--35,1253,3,0,117,1556
