cohort,agent,id,task_id,n_tracker_hosts,platform_first_party_ad,open_rtb_exchange,identity_resolution,cross_device_acr,audience_measurement,native_recommendation,other
human,human,P001,Amazon--32,5,5,0,0,0,0,0,0
human,human,P001,Apple--29,2,0,0,0,0,0,0,2
human,human,P001,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P001,Booking--3,35,14,13,0,0,0,0,8
human,human,P001,Coursera--21,27,11,2,0,0,0,0,14
human,human,P001,GitHub--35,2,0,0,0,0,0,0,2
human,human,P001,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P001,Google Map--35,3,1,0,0,0,0,0,1
human,human,P001,Google Search--28,135,21,52,4,0,13,0,44
human,human,P001,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P002,Amazon--32,5,5,0,0,0,0,0,0
human,human,P002,Apple--29,2,0,0,0,0,0,0,2
human,human,P002,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P002,Booking--3,35,13,13,0,0,0,0,9
human,human,P002,Coursera--21,27,11,2,0,0,0,0,14
human,human,P002,GitHub--35,2,0,0,0,0,0,0,2
human,human,P002,Google Flights--34,19,4,0,1,0,0,0,13
human,human,P002,Google Map--35,3,1,0,0,0,0,0,1
human,human,P002,Google Search--28,127,20,52,4,0,12,0,38
human,human,P002,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P003,Amazon--32,5,5,0,0,0,0,0,0
human,human,P003,Apple--29,3,0,0,0,0,0,0,3
human,human,P003,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P003,Booking--3,31,13,10,0,0,0,0,8
human,human,P003,Coursera--21,27,11,2,0,0,0,0,14
human,human,P003,GitHub--35,2,0,0,0,0,0,0,2
human,human,P003,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P003,Google Map--35,3,1,0,0,0,0,0,1
human,human,P003,Google Search--28,122,21,52,4,0,7,1,36
human,human,P003,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P004,Amazon--32,4,4,0,0,0,0,0,0
human,human,P004,Apple--29,2,0,0,0,0,0,0,2
human,human,P004,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P004,Booking--3,32,14,10,0,0,0,0,8
human,human,P004,Coursera--21,27,11,2,0,0,0,0,14
human,human,P004,GitHub--35,2,0,0,0,0,0,0,2
human,human,P004,Google Flights--34,9,4,0,0,0,0,0,4
human,human,P004,Google Map--35,3,1,0,0,0,0,0,1
human,human,P004,Google Search--28,112,17,51,4,0,7,0,32
human,human,P004,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P005,Amazon--32,4,4,0,0,0,0,0,0
human,human,P005,Apple--29,8,4,0,0,0,0,0,3
human,human,P005,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P005,Booking--3,35,14,13,0,0,0,0,8
human,human,P005,Coursera--21,27,11,2,0,0,0,0,14
human,human,P005,GitHub--35,11,6,0,0,0,0,0,4
human,human,P005,Google Flights--34,30,11,0,0,0,1,0,17
human,human,P005,Google Map--35,3,1,0,0,0,0,0,1
human,human,P005,Google Search--28,122,21,51,4,0,7,0,38
human,human,P005,Huggingface--14,5,3,0,0,0,0,0,1
human,human,P006,Amazon--32,6,4,0,0,0,0,0,2
human,human,P006,Apple--29,7,2,0,0,0,1,0,3
human,human,P006,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P006,Booking--3,32,14,10,0,0,0,0,8
human,human,P006,Coursera--21,27,11,2,0,0,0,0,14
human,human,P006,GitHub--35,2,0,0,0,0,0,0,2
human,human,P006,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P006,Google Map--35,3,1,0,0,0,0,0,1
human,human,P006,Google Search--28,95,20,41,4,0,7,0,22
human,human,P006,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P007,Amazon--32,4,4,0,0,0,0,0,0
human,human,P007,Apple--29,2,0,0,0,0,0,0,2
human,human,P007,ArXiv--17,4,2,0,0,0,0,0,2
human,human,P007,Booking--3,32,13,11,0,0,0,0,8
human,human,P007,Coursera--21,27,11,2,0,0,0,0,14
human,human,P007,GitHub--35,3,0,0,0,0,0,0,3
human,human,P007,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P007,Google Map--35,3,1,0,0,0,0,0,1
human,human,P007,Google Search--28,134,20,53,4,0,12,0,43
human,human,P007,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P008,Amazon--32,4,4,0,0,0,0,0,0
human,human,P008,Apple--29,2,0,0,0,0,0,0,2
human,human,P008,ArXiv--17,26,12,1,1,0,0,0,11
human,human,P008,Booking--3,35,12,14,0,0,0,0,9
human,human,P008,Coursera--21,27,11,2,0,0,0,0,14
human,human,P008,GitHub--35,2,0,0,0,0,0,0,2
human,human,P008,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P008,Google Map--35,3,1,0,0,0,0,0,1
human,human,P008,Google Search--28,123,21,58,4,0,6,0,33
human,human,P008,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P009,Amazon--32,5,5,0,0,0,0,0,0
human,human,P009,Apple--29,2,0,0,0,0,0,0,2
human,human,P009,ArXiv--17,1,0,0,0,0,0,0,1
human,human,P009,Booking--3,32,13,11,0,0,0,0,8
human,human,P009,Coursera--21,27,11,2,0,0,0,0,14
human,human,P009,GitHub--35,2,0,0,0,0,0,0,2
human,human,P009,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P009,Google Map--35,3,1,0,0,0,0,0,1
human,human,P009,Google Search--28,9,5,0,0,0,1,0,2
human,human,P009,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P010,Amazon--32,5,5,0,0,0,0,0,0
human,human,P010,Apple--29,2,0,0,0,0,0,0,2
human,human,P010,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P010,Booking--3,34,14,12,0,0,0,0,8
human,human,P010,Coursera--21,27,11,2,0,0,0,0,14
human,human,P010,GitHub--35,2,0,0,0,0,0,0,2
human,human,P010,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P010,Google Map--35,3,1,0,0,0,0,0,1
human,human,P010,Google Search--28,138,22,56,4,0,12,0,43
human,human,P010,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P011,Amazon--32,5,5,0,0,0,0,0,0
human,human,P011,Apple--29,3,0,0,0,0,0,0,3
human,human,P011,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P011,Booking--3,31,14,9,0,0,0,0,8
human,human,P011,Coursera--21,27,11,2,0,0,0,0,14
human,human,P011,GitHub--35,2,0,0,0,0,0,0,2
human,human,P011,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P011,Google Map--35,3,1,0,0,0,0,0,1
human,human,P011,Google Search--28,63,13,24,7,0,4,0,14
human,human,P011,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P012,Amazon--32,7,5,0,0,0,0,0,2
human,human,P012,Apple--29,2,0,0,0,0,0,0,2
human,human,P012,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P012,Booking--3,32,13,11,0,0,0,0,8
human,human,P012,Coursera--21,27,11,2,0,0,0,0,14
human,human,P012,GitHub--35,4,0,0,0,0,0,0,4
human,human,P012,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P012,Google Map--35,3,1,0,0,0,0,0,1
human,human,P012,Google Search--28,27,9,5,4,0,2,0,6
human,human,P012,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P013,Amazon--32,4,4,0,0,0,0,0,0
human,human,P013,Apple--29,3,0,0,0,0,0,0,3
human,human,P013,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P013,Booking--3,30,13,9,0,0,0,0,8
human,human,P013,Coursera--21,27,11,2,0,0,0,0,14
human,human,P013,GitHub--35,2,0,0,0,0,0,0,2
human,human,P013,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P013,Google Map--35,3,1,0,0,0,0,0,1
human,human,P013,Google Search--28,10,6,0,0,0,1,0,2
human,human,P013,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P014,Amazon--32,7,5,0,0,0,0,0,2
human,human,P014,Apple--29,2,0,0,0,0,0,0,2
human,human,P014,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P014,Booking--3,34,14,12,0,0,0,0,8
human,human,P014,Coursera--21,27,11,2,0,0,0,0,14
human,human,P014,GitHub--35,2,0,0,0,0,0,0,2
human,human,P014,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P014,Google Map--35,3,1,0,0,0,0,0,1
human,human,P014,Google Search--28,3,1,0,0,0,0,0,1
human,human,P014,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P015,Amazon--32,5,5,0,0,0,0,0,0
human,human,P015,Apple--29,3,0,0,0,0,0,0,3
human,human,P015,ArXiv--17,0,0,0,0,0,0,0,0
human,human,P015,Booking--3,31,13,10,0,0,0,0,8
human,human,P015,Coursera--21,27,11,2,0,0,0,0,14
human,human,P015,GitHub--35,2,0,0,0,0,0,0,2
human,human,P015,Google Flights--34,2,0,0,0,0,0,0,1
human,human,P015,Google Map--35,3,1,0,0,0,0,0,1
human,human,P015,Google Search--28,3,1,0,0,0,0,0,1
human,human,P015,Huggingface--14,0,0,0,0,0,0,0,0
human,human,P016,Amazon--32,7,5,0,0,0,0,0,2
human,human,P016,Apple--29,2,0,0,0,0,0,0,2
human,human,P016,ArXiv--17,0,0,0,0,0,0,0,0
