agent	metric	n_pairs	agent_mean	baseline_mean	gap	median_gap	ci_lo	ci_hi	p_holm
OpenAI CUA	trk_present	1286	0.5746500777604977	0.9300155520995335	-0.35536547433903576	0.0	-0.3818040435458787	-0.328149300155521	2.272832264330085e-98
OpenAI CUA	uniq_trk_doms	1286	11.849922239502332	14.409020217729394	-2.5590979782270606	-4.0	-3.395820373250389	-1.6881609642301714	3.8357673743777014e-33
OpenAI CUA	trk_reqs	1286	46.14463452566096	160.59409020217728	-114.44945567651634	-65.5	-124.424766718507	-104.46529937791603	1.6105252717920036e-117
OpenAI CUA	trk_share	1286	0.10213357456223635	0.5259005876821108	-0.42376701311987447	-0.48009518296996595	-0.43952996777425746	-0.40811992373423445	1.025108021126111e-190
OpenAI CUA	tot_reqs	1286	265.2900466562986	220.49844479004665	44.791601866251945	0.0	30.08853032659409	59.882970451010884	0.2567498929070624
browser-use	trk_present	643	0.9626749611197511	0.9300155520995335	0.03265940902021773	0.0	0.007776049766718507	0.05909797822706065	0.02293614604447511
browser-use	uniq_trk_doms	643	28.88646967340591	14.895800933125972	13.990668740279938	-1.0	10.70594867807154	17.522589424572317	0.05766578835954934
browser-use	trk_reqs	643	559.3421461897356	168.02021772939347	391.3219284603421	206.0	352.2403965785381	431.95956454121307	2.568049118104855e-67
browser-use	trk_share	643	0.6249500572846622	0.528636976330663	0.09631308095399925	0.012519186918292569	0.06622129669485043	0.12672520695598766	1.3682812433398375e-07
browser-use	tot_reqs	643	738.9875583203733	229.9393468118196	509.04821150855366	346.0	470.0501166407465	550.1092534992224	9.781017601596246e-95
fara-7b	trk_present	643	0.9611197511664075	0.9300155520995335	0.03110419906687403	0.0	0.004665629860031105	0.05754276827371695	0.01682740948275685
fara-7b	uniq_trk_doms	643	53.233281493001556	14.895800933125972	38.33748055987558	1.0	32.461858475894246	44.75116640746501	8.993489257289845e-16
fara-7b	trk_reqs	643	369.32814930015553	168.02021772939347	201.30793157076207	25.0	166.5192068429238	238.4676127527216	6.735664296446266e-17
fara-7b	trk_share	643	0.4112048435631744	0.528636976330663	-0.11743213276748861	-0.1298183913065698	-0.15021171319420623	-0.0838312830355049	8.87441782097278e-16
fara-7b	tot_reqs	643	683.895800933126	229.9393468118196	453.95645412130636	256.0	411.88584758942454	498.57569984447895	1.4215180087135526e-82
ui-tars-1.5-7b	trk_present	643	0.8693623639191291	0.9300155520995335	-0.060653188180404355	0.0	-0.09486780715396578	-0.026438569206842923	0.0011905484444293577
ui-tars-1.5-7b	uniq_trk_doms	643	26.77293934681182	14.895800933125972	11.877138413685847	-2.0	8.334331259720061	15.651632970451011	0.11048426113476556
ui-tars-1.5-7b	trk_reqs	643	94.32814930015552	168.02021772939347	-73.69206842923795	-60.0	-92.64412908242612	-54.43440902021774	1.0123334314246373e-31
ui-tars-1.5-7b	trk_share	643	0.2766188593605254	0.528636976330663	-0.25201811697013765	-0.24285714285714283	-0.2858587169269644	-0.21728427898639002	1.8005541827294153e-44
ui-tars-1.5-7b	tot_reqs	643	211.25816485225505	229.9393468118196	-18.68118195956454	-35.0	-40.89891135303266	3.8180793157075974	1.903799281966946e-16
som-glm	trk_present	643	0.9004665629860031	0.9300155520995335	-0.029548989113530325	0.0	-0.06220839813374806	0.0015552099533437014	0.06877881333195217
som-glm	uniq_trk_doms	643	46.67185069984448	14.895800933125972	31.776049766718508	-1.0	26.41667962674961	37.4994167962675	4.5448870797137164e-06
som-glm	trk_reqs	643	269.04510108864696	168.02021772939347	101.0248833592535	-1.0	71.32344479004665	132.54832814930012	0.027307391096945664
som-glm	trk_share	643	0.3575799479655424	0.528636976330663	-0.17105702836512063	-0.15636198055869022	-0.20506900984142717	-0.1359249873631904	3.316388828001666e-25
som-glm	tot_reqs	643	462.9968895800933	229.9393468118196	233.05754276827372	58.0	198.22305598755833	269.81617418351476	3.8858815235761854e-27
som-gpt-5	trk_present	643	0.9082426127527217	0.9300155520995335	-0.02177293934681182	0.0	-0.05287713841368585	0.00933125972006221	0.33962101017104285
som-gpt-5	uniq_trk_doms	643	29.541213063763607	14.895800933125972	14.645412130637636	-1.0	10.821150855365474	18.759020217729393	0.9120903493225204
som-gpt-5	trk_reqs	643	170.63763608087092	168.02021772939347	2.6174183514774496	-28.0	-20.474533437014	26.813646967340585	6.521096034486042e-07
som-gpt-5	trk_share	643	0.304337606984755	0.528636976330663	-0.224299369345908	-0.1854996486029593	-0.25629960746532343	-0.1917329415592515	7.834884857527566e-46
som-gpt-5	tot_reqs	643	365.1804043545879	229.9393468118196	135.24105754276826	36.0	107.52538880248834	163.37169517884914	2.7925103605364057e-14
