agent,condition,task,rep,pseudo_id_count
browser-use,C0,Amazon--32,01,723
browser-use,C0,ArXiv--17,01,592
browser-use,C0,Booking--3,01,213
browser-use,C0,Coursera--21,01,168
browser-use,C0,Google_Map--35,01,636
browser-use,C0,Google_Search--28,01,3394
browser-use,C1,Amazon--32,01,502
browser-use,C1,ArXiv--17,01,2
browser-use,C1,Booking--3,01,211
browser-use,C1,Coursera--21,01,213
browser-use,C1,Google_Map--35,01,61
browser-use,C1,Google_Search--28,01,1895
browser-use,C1P,Amazon--32,01,630
browser-use,C1P,Amazon--32,02,621
browser-use,C1P,Apple--29,01,345
browser-use,C1P,Apple--29,02,350
browser-use,C1P,ArXiv--17,01,54
browser-use,C1P,ArXiv--17,02,16
browser-use,C1P,Booking--3,01,493
browser-use,C1P,Booking--3,02,860
browser-use,C1P,Coursera--21,01,274
browser-use,C1P,Coursera--21,02,212
browser-use,C1P,GitHub--35,01,30
browser-use,C1P,GitHub--35,02,52
browser-use,C1P,Google_Flights--34,01,107
browser-use,C1P,Google_Flights--34,02,87
browser-use,C1P,Google_Map--35,01,554
browser-use,C1P,Google_Map--35,02,433
browser-use,C1P,Google_Search--28,01,1171
browser-use,C1P,Google_Search--28,02,2088
browser-use,C1P,Huggingface--14,01,20
browser-use,C1P,Huggingface--14,02,18
browser-use,C1S,Amazon--32,01,1056
browser-use,C1S,Amazon--32,02,578
browser-use,C1S,Apple--29,01,1032
browser-use,C1S,Apple--29,02,339
browser-use,C1S,ArXiv--17,01,856
browser-use,C1S,ArXiv--17,02,145
browser-use,C1S,Booking--3,01,870
browser-use,C1S,Booking--3,02,884
browser-use,C1S,Coursera--21,01,214
browser-use,C1S,Coursera--21,02,246
browser-use,C1S,GitHub--35,01,17
browser-use,C1S,GitHub--35,02,20
browser-use,C1S,Google_Flights--34,01,114
browser-use,C1S,Google_Flights--34,02,114
browser-use,C1S,Google_Map--35,01,399
browser-use,C1S,Google_Map--35,02,1058
browser-use,C1S,Google_Search--28,01,1826
browser-use,C1S,Google_Search--28,02,2231
browser-use,C1S,Huggingface--14,01,441
browser-use,C1S,Huggingface--14,02,73
browser-use,C2,Amazon--32,01,492
browser-use,C2,ArXiv--17,01,33
browser-use,C2,Booking--3,01,383
browser-use,C2,Coursera--21,01,152
browser-use,C2,Google_Map--35,01,23
browser-use,C2,Google_Search--28,01,19
browser-use,C2P,Amazon--32,01,321
browser-use,C2P,Amazon--32,02,811
browser-use,C2P,Apple--29,01,43
browser-use,C2P,Apple--29,02,51
browser-use,C2P,ArXiv--17,01,43
browser-use,C2P,ArXiv--17,02,32
browser-use,C2P,Booking--3,01,61
browser-use,C2P,Booking--3,02,1638
browser-use,C2P,Coursera--21,01,212
browser-use,C2P,Coursera--21,02,190
browser-use,C2P,GitHub--35,01,31
browser-use,C2P,GitHub--35,02,20
browser-use,C2P,Google_Flights--34,01,92
browser-use,C2P,Google_Flights--34,02,80
browser-use,C2P,Google_Map--35,01,33
browser-use,C2P,Google_Map--35,02,120
browser-use,C2P,Google_Search--28,01,106
browser-use,C2P,Google_Search--28,02,25
browser-use,C2P,Huggingface--14,01,29
browser-use,C2P,Huggingface--14,02,19
browser-use,C2S,Amazon--32,01,0
browser-use,C2S,Amazon--32,02,2
browser-use,C2S,Apple--29,01,0
browser-use,C2S,Apple--29,02,571
browser-use,C2S,ArXiv--17,01,557
browser-use,C2S,ArXiv--17,02,565
browser-use,C2S,Booking--3,01,569
browser-use,C2S,Booking--3,02,0
browser-use,C2S,Coursera--21,01,0
browser-use,C2S,Coursera--21,02,513
browser-use,C2S,GitHub--35,01,15
browser-use,C2S,GitHub--35,02,579
browser-use,C2S,Google_Flights--34,01,15
browser-use,C2S,Google_Flights--34,02,0
browser-use,C2S,Google_Map--35,01,572
browser-use,C2S,Google_Map--35,02,568
browser-use,C2S,Google_Search--28,01,561
browser-use,C2S,Google_Search--28,02,15
browser-use,C2S,Huggingface--14,01,15
browser-use,C2S,Huggingface--14,02,558
browser-use,C3,Amazon--32,01,587
browser-use,C3,ArXiv--17,01,1
browser-use,C3,Booking--3,01,315
browser-use,C3,Coursera--21,01,214
browser-use,C3,Google_Map--35,01,59
browser-use,C3,Google_Search--28,01,6
browser-use,C4,Amazon--32,01,654
browser-use,C4,ArXiv--17,01,429
browser-use,C4,Booking--3,01,337
browser-use,C4,Coursera--21,01,210
browser-use,C4,Google_Map--35,01,881
browser-use,C4,Google_Search--28,01,521
browser-use,C5,Amazon--32,01,551
browser-use,C5,ArXiv--17,01,462
browser-use,C5,Booking--3,01,214
browser-use,C5,Coursera--21,01,166
browser-use,C5,Google_Map--35,01,560
browser-use,C5,Google_Search--28,01,771
browser-use,C6,Amazon--32,01,618
browser-use,C6,ArXiv--17,01,2
browser-use,C6,Booking--3,01,171
browser-use,C6,Coursera--21,01,173
browser-use,C6,Google_Map--35,01,121
browser-use,C6,Google_Search--28,01,1522
browser-use,C7,Amazon--32,01,429
browser-use,C7,ArXiv--17,01,15
browser-use,C7,Booking--3,01,79
browser-use,C7,Coursera--21,01,175
browser-use,C7,Google_Map--35,01,21
browser-use,C7,Google_Search--28,01,21
browser-use,C8,Amazon--32,01,625
