cohort,agent,id,task_id,n_records,xsite,trk_hosts,pseudo,context,device_net,behavior,direct_id,fp_apis
human,human,P001,Amazon--32,1119,0,5,425,1166,3756,705,0,0
human,human,P001,Apple--29,284,0,2,245,264,785,7,0,0
human,human,P001,ArXiv--17,162,0,0,14,104,371,0,0,0
human,human,P001,Booking--3,1748,1,35,824,1967,5300,392,0,4
human,human,P001,Coursera--21,1062,1,27,531,1146,3081,34,0,0
human,human,P001,GitHub--35,412,0,2,91,351,1128,0,0,0
human,human,P001,Google Flights--34,343,0,2,189,300,980,0,0,0
human,human,P001,Google Map--35,1405,0,3,1153,1359,3389,36,0,71
human,human,P001,Google Search--28,1699,2,135,739,1876,5120,139,0,0
human,human,P001,Huggingface--14,167,0,0,30,126,461,0,0,4
human,human,P002,Amazon--32,1099,0,5,430,1193,3733,751,0,0
human,human,P002,Apple--29,243,1,2,185,210,626,13,0,0
human,human,P002,ArXiv--17,79,0,0,9,73,226,0,0,0
human,human,P002,Booking--3,2237,1,35,1151,2570,6852,546,0,4
human,human,P002,Coursera--21,1417,1,27,848,1612,4117,47,0,0
human,human,P002,GitHub--35,420,1,2,103,359,1151,0,0,0
human,human,P002,Google Flights--34,771,1,19,526,724,2289,5,0,10
human,human,P002,Google Map--35,1113,0,3,972,1063,2569,37,0,40
human,human,P002,Google Search--28,1010,3,127,473,1126,3030,49,0,4
human,human,P002,Huggingface--14,154,0,0,38,126,448,0,0,4
human,human,P003,Amazon--32,1154,0,5,368,1236,3739,564,0,2
human,human,P003,Apple--29,363,0,3,211,357,990,30,0,2
human,human,P003,ArXiv--17,132,0,0,13,79,289,0,0,0
human,human,P003,Booking--3,948,0,31,466,1083,2873,204,0,0
human,human,P003,Coursera--21,1024,1,27,514,1110,2968,35,0,0
human,human,P003,GitHub--35,358,1,2,85,345,1061,0,0,0
human,human,P003,Google Flights--34,317,0,2,161,267,899,0,0,0
human,human,P003,Google Map--35,1174,0,3,977,1122,2779,38,0,38
human,human,P003,Google Search--28,984,3,122,498,1086,3007,41,0,0
human,human,P003,Huggingface--14,153,0,0,36,126,446,0,0,4
human,human,P004,Amazon--32,1254,0,4,637,1465,4390,1047,0,0
human,human,P004,Apple--29,310,0,2,244,261,821,7,0,0
human,human,P004,ArXiv--17,132,0,0,11,77,287,0,0,0
human,human,P004,Booking--3,1748,0,32,848,2021,5347,498,0,4
human,human,P004,Coursera--21,986,1,27,483,1071,2852,36,0,0
human,human,P004,GitHub--35,454,1,2,116,393,1254,0,0,0
human,human,P004,Google Flights--34,688,5,9,383,679,2048,3,0,7
human,human,P004,Google Map--35,713,0,3,521,673,1812,14,0,80
human,human,P004,Google Search--28,811,1,112,381,872,2384,43,0,0
human,human,P004,Huggingface--14,211,0,0,39,134,523,0,0,4
human,human,P005,Amazon--32,993,0,4,385,1033,3293,587,0,0
human,human,P005,Apple--29,533,2,8,431,464,1475,28,0,0
human,human,P005,ArXiv--17,241,0,0,11,183,609,0,0,0
human,human,P005,Booking--3,1675,1,35,789,1879,5080,384,0,4
human,human,P005,Coursera--21,1175,1,27,742,1308,3383,33,0,0
human,human,P005,GitHub--35,1289,4,11,510,1150,3564,11,0,0
human,human,P005,Google Flights--34,1914,1,30,1331,1832,5721,46,0,10
human,human,P005,Google Map--35,811,0,3,576,759,2103,20,0,72
human,human,P005,Google Search--28,1346,4,122,729,1394,3986,64,0,4
human,human,P005,Huggingface--14,499,1,5,271,361,1343,14,0,4
human,human,P006,Amazon--32,870,0,6,236,960,2868,383,0,0
human,human,P006,Apple--29,492,3,7,344,408,1335,24,0,0
human,human,P006,ArXiv--17,72,0,0,0,19,110,0,0,0
human,human,P006,Booking--3,996,1,32,459,1160,2965,257,0,0
human,human,P006,Coursera--21,966,1,27,528,1073,2782,33,0,0
human,human,P006,GitHub--35,352,0,2,84,339,1043,0,0,0
human,human,P006,Google Flights--34,245,0,2,129,215,715,0,0,0
human,human,P006,Google Map--35,884,0,3,738,878,2250,23,0,45
human,human,P006,Google Search--28,793,2,95,397,892,2427,39,0,0
human,human,P006,Huggingface--14,151,0,0,37,124,440,0,0,4
human,human,P007,Amazon--32,1060,0,4,416,1108,3509,626,0,0
human,human,P007,Apple--29,379,0,2,324,353,1039,23,0,0
human,human,P007,ArXiv--17,120,0,4,20,64,245,0,0,0
human,human,P007,Booking--3,1667,1,32,791,1909,5073,437,0,4
human,human,P007,Coursera--21,894,1,27,447,977,2576,33,0,0
human,human,P007,GitHub--35,418,0,3,112,369,1171,0,0,0
human,human,P007,Google Flights--34,331,0,2,177,286,952,0,0,0
human,human,P007,Google Map--35,748,0,3,602,742,1916,15,0,106
human,human,P007,Google Search--28,1005,2,134,482,1128,3069,50,0,4
human,human,P007,Huggingface--14,158,0,0,29,131,461,0,0,4
human,human,P008,Amazon--32,906,0,4,358,1063,3081,612,0,0
human,human,P008,Apple--29,282,1,2,225,245,747,14,0,5
human,human,P008,ArXiv--17,369,5,26,94,303,995,9,0,0
human,human,P008,Booking--3,2576,0,35,1130,2882,7802,421,0,6
human,human,P008,Coursera--21,1741,1,27,899,2020,5117,67,0,0
human,human,P008,GitHub--35,764,1,2,206,699,2180,0,0,0
human,human,P008,Google Flights--34,318,0,2,167,271,908,0,0,0
human,human,P008,Google Map--35,769,0,3,599,739,1961,17,0,80
human,human,P008,Google Search--28,924,2,123,462,1092,2858,76,0,0
human,human,P008,Huggingface--14,177,0,0,26,127,472,0,0,4
human,human,P009,Amazon--32,920,0,5,298,1000,3016,491,0,0
human,human,P009,Apple--29,222,0,2,170,182,573,9,0,0
human,human,P009,ArXiv--17,167,0,1,10,107,375,0,0,0
human,human,P009,Booking--3,1509,0,32,726,1749,4619,448,0,2
human,human,P009,Coursera--21,1041,1,27,525,1126,3017,34,0,0
human,human,P009,GitHub--35,352,1,2,85,339,1043,0,0,0
human,human,P009,Google Flights--34,299,0,2,148,253,849,0,0,0
human,human,P009,Google Map--35,678,0,3,540,672,1739,8,0,82
human,human,P009,Google Search--28,277,1,9,156,278,829,4,0,0
human,human,P009,Huggingface--14,158,0,0,32,130,460,0,0,4
human,human,P010,Amazon--32,934,0,5,332,1003,3092,537,0,0
human,human,P010,Apple--29,377,0,2,320,341,1031,12,0,0
human,human,P010,ArXiv--17,286,0,0,15,209,719,0,0,0
human,human,P010,Booking--3,1867,0,34,911,2102,5657,392,0,4
human,human,P010,Coursera--21,1160,1,27,624,1307,3373,47,0,0
human,human,P010,GitHub--35,444,0,2,117,382,1223,0,0,0
human,human,P010,Google Flights--34,309,0,2,157,264,878,0,0,0
human,human,P010,Google Map--35,625,0,3,430,589,1637,12,0,81
human,human,P010,Google Search--28,1143,3,138,529,1244,3414,46,0,0
human,human,P010,Huggingface--14,154,0,0,36,126,448,0,0,4
human,human,P011,Amazon--32,1018,0,5,293,1030,3291,484,0,0
human,human,P011,Apple--29,621,0,3,419,634,1774,35,0,5
