agent,task,condition,n_reps,success_rate,dominant_status,records_median,records_ci_lo,records_ci_hi,unique_hosts_median,unique_hosts_ci_lo,unique_hosts_ci_hi,third_party_hosts_median,third_party_hosts_ci_lo,third_party_hosts_ci_hi,rq3_blocks_search_median,rq3_blocks_search_ci_lo,rq3_blocks_search_ci_hi,rq3_blocks_offdomain_median,rq3_blocks_offdomain_ci_lo,rq3_blocks_offdomain_ci_hi,rq3_blocks_cmp_median,rq3_blocks_cmp_ci_lo,rq3_blocks_cmp_ci_hi,duration_seconds_median,duration_seconds_ci_lo,duration_seconds_ci_hi
browser-use,Allrecipes--0,C0,1,1.0,success,664,664,664,113,113,113,110,110,110,0,0,0,0,0,0,0,0,0,37.7,37.7,37.7
browser-use,Allrecipes--0,C2,1,1.0,success,40,40,40,11,11,11,10,10,10,0,0,0,6,6,6,0,0,0,54.4,54.4,54.4
browser-use,Allrecipes--0,C5,1,1.0,success,371,371,371,14,14,14,13,13,13,0,0,0,0,0,0,0,0,0,46.0,46.0,46.0
browser-use,Allrecipes--0,C7,1,1.0,success,59,59,59,11,11,11,10,10,10,0,0,0,4,4,4,0,0,0,42.7,42.7,42.7
browser-use,Allrecipes--0,C8,1,1.0,success,78,78,78,12,12,12,11,11,11,3,3,3,2,2,2,0,0,0,24.5,24.5,24.5
browser-use,Allrecipes--1,C0,1,1.0,success,1030,1030,1030,104,104,104,101,101,101,0,0,0,0,0,0,0,0,0,45.3,45.3,45.3
browser-use,Allrecipes--1,C2,1,1.0,success,49,49,49,11,11,11,10,10,10,0,0,0,4,4,4,0,0,0,72.0,72.0,72.0
browser-use,Allrecipes--1,C5,1,1.0,success,795,795,795,104,104,104,103,103,103,0,0,0,0,0,0,0,0,0,43.4,43.4,43.4
browser-use,Allrecipes--1,C7,1,1.0,success,41,41,41,13,13,13,12,12,12,0,0,0,6,6,6,0,0,0,29.3,29.3,29.3
browser-use,Allrecipes--1,C8,1,1.0,success,641,641,641,106,106,106,103,103,103,0,0,0,23,23,23,0,0,0,26.5,26.5,26.5
browser-use,Allrecipes--10,C0,1,1.0,success,1271,1271,1271,103,103,103,103,103,103,0,0,0,0,0,0,0,0,0,67.5,67.5,67.5
browser-use,Allrecipes--10,C2,1,1.0,success,98,98,98,14,14,14,13,13,13,0,0,0,5,5,5,0,0,0,79.7,79.7,79.7
browser-use,Allrecipes--10,C5,1,0.0,agent_error,588,588,588,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,164.5,164.5,164.5
browser-use,Allrecipes--10,C7,1,1.0,success,93,93,93,12,12,12,12,12,12,0,0,0,4,4,4,0,0,0,35.0,35.0,35.0
browser-use,Allrecipes--10,C8,1,1.0,success,243,243,243,72,72,72,72,72,72,0,0,0,13,13,13,1,1,1,28.0,28.0,28.0
