agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
browser-use,Allrecipes--0,C0,1,allrecipes.com,664,113,110,0,0,0,success,37.7,0
browser-use,Allrecipes--1,C0,1,allrecipes.com,1030,104,101,0,0,0,success,45.3,0
browser-use,Allrecipes--10,C0,1,allrecipes.com,1271,103,103,0,0,0,success,67.5,0
browser-use,Allrecipes--11,C0,1,allrecipes.com,1303,137,134,0,0,0,success,58.3,0
browser-use,Allrecipes--12,C0,1,allrecipes.com,961,128,125,0,0,0,success,39.6,0
browser-use,Allrecipes--13,C0,1,allrecipes.com,869,126,123,0,0,0,success,41.5,0
browser-use,Allrecipes--14,C0,1,allrecipes.com,1185,127,124,0,0,0,success,34.2,0
browser-use,Allrecipes--15,C0,1,allrecipes.com,896,129,126,0,0,0,success,42.0,0
browser-use,Allrecipes--16,C0,1,allrecipes.com,1254,133,130,0,0,0,success,46.8,0
browser-use,Allrecipes--17,C0,1,allrecipes.com,1018,161,158,0,0,0,success,52.7,0
browser-use,Allrecipes--18,C0,1,allrecipes.com,1509,139,136,0,0,0,success,46.2,0
browser-use,Allrecipes--19,C0,1,allrecipes.com,1087,109,106,0,0,0,success,36.3,0
browser-use,Allrecipes--2,C0,1,allrecipes.com,1581,134,131,0,0,0,success,64.4,0
browser-use,Allrecipes--20,C0,1,allrecipes.com,806,122,119,0,0,0,success,26.9,0
browser-use,Allrecipes--21,C0,1,allrecipes.com,779,120,117,0,0,0,success,21.8,0
browser-use,Allrecipes--22,C0,1,allrecipes.com,1250,132,129,0,0,0,success,37.6,0
browser-use,Allrecipes--23,C0,1,allrecipes.com,565,103,100,0,0,0,success,34.8,0
browser-use,Allrecipes--24,C0,1,allrecipes.com,652,111,108,0,0,0,success,22.6,0
browser-use,Allrecipes--25,C0,1,allrecipes.com,1106,135,132,0,0,0,success,45.9,0
browser-use,Allrecipes--26,C0,1,allrecipes.com,722,114,111,0,0,0,success,34.8,0
browser-use,Allrecipes--27,C0,1,allrecipes.com,909,135,132,0,0,0,success,41.2,0
browser-use,Allrecipes--28,C0,1,allrecipes.com,884,132,129,0,0,0,success,36.9,0
browser-use,Allrecipes--29,C0,1,allrecipes.com,1347,130,127,0,0,0,success,45.6,0
browser-use,Allrecipes--3,C0,1,allrecipes.com,654,109,106,0,0,0,success,41.7,0
browser-use,Allrecipes--30,C0,1,allrecipes.com,1584,128,125,0,0,0,success,45.0,0
browser-use,Allrecipes--31,C0,1,allrecipes.com,630,105,102,0,0,0,success,40.6,0
browser-use,Allrecipes--32,C0,1,allrecipes.com,809,123,120,0,0,0,success,26.7,0
browser-use,Allrecipes--33,C0,1,allrecipes.com,1050,131,128,0,0,0,success,45.6,0
browser-use,Allrecipes--34,C0,1,allrecipes.com,773,116,113,0,0,0,success,22.0,0
browser-use,Allrecipes--35,C0,1,allrecipes.com,1290,179,176,0,0,0,success,33.3,0
browser-use,Allrecipes--36,C0,1,allrecipes.com,1169,136,133,0,0,0,success,30.6,0
browser-use,Allrecipes--37,C0,1,allrecipes.com,1009,132,129,0,0,0,success,41.7,0
browser-use,Allrecipes--38,C0,1,allrecipes.com,969,151,148,0,0,0,success,44.5,0
browser-use,Allrecipes--39,C0,1,allrecipes.com,1065,125,122,0,0,0,success,42.1,0
browser-use,Allrecipes--4,C0,1,allrecipes.com,819,91,88,0,0,0,success,39.9,0
browser-use,Allrecipes--40,C0,1,allrecipes.com,478,104,101,0,0,0,success,42.3,0
browser-use,Allrecipes--41,C0,1,allrecipes.com,897,132,128,0,0,0,success,33.9,0
browser-use,Allrecipes--42,C0,1,allrecipes.com,975,127,124,0,0,0,success,41.4,0
browser-use,Allrecipes--43,C0,1,allrecipes.com,1253,135,132,0,0,0,success,44.9,0
browser-use,Allrecipes--44,C0,1,allrecipes.com,534,105,102,0,0,0,success,32.3,0
browser-use,Allrecipes--5,C0,1,allrecipes.com,791,112,109,0,0,0,success,39.8,0
browser-use,Allrecipes--6,C0,1,allrecipes.com,1976,152,149,0,0,0,success,69.3,0
browser-use,Allrecipes--7,C0,1,allrecipes.com,1099,128,125,0,0,0,success,49.3,0
browser-use,Allrecipes--8,C0,1,allrecipes.com,807,123,120,0,0,0,success,26.9,0
browser-use,Allrecipes--9,C0,1,allrecipes.com,1279,111,108,0,0,0,success,30.6,0
browser-use,Amazon--0,C0,1,amazon.com,973,35,35,0,0,0,success,85.3,0
browser-use,Amazon--1,C0,1,amazon.com,1209,69,69,0,0,0,success,72.4,0
browser-use,Amazon--10,C0,1,amazon.com,1054,52,48,0,0,0,success,56.1,0
browser-use,Amazon--11,C0,1,amazon.com,803,54,50,0,0,0,success,50.8,0
browser-use,Amazon--12,C0,1,amazon.com,910,51,47,0,0,0,success,33.7,0
browser-use,Amazon--13,C0,1,amazon.com,933,52,48,0,0,0,success,60.9,0
browser-use,Amazon--14,C0,1,amazon.com,765,51,47,0,0,0,success,50.5,0
browser-use,Amazon--15,C0,1,amazon.com,913,52,48,0,0,0,success,57.5,0
browser-use,Amazon--16,C0,1,amazon.com,1125,66,62,0,0,0,success,63.3,0
browser-use,Amazon--17,C0,1,amazon.com,636,54,50,0,0,0,success,64.5,0
browser-use,Amazon--18,C0,1,amazon.com,713,44,41,0,0,0,success,28.3,0
browser-use,Amazon--19,C0,1,amazon.com,881,45,42,0,0,0,success,51.5,0
browser-use,Amazon--2,C0,1,amazon.com,1001,36,36,0,0,0,success,62.4,0
browser-use,Amazon--20,C0,1,amazon.com,799,54,50,0,0,0,success,55.2,0
browser-use,Amazon--21,C0,1,amazon.com,809,52,48,0,0,0,success,66.0,0
browser-use,Amazon--22,C0,1,amazon.com,1251,52,48,0,0,0,success,64.5,0
browser-use,Amazon--23,C0,1,amazon.com,1258,55,50,0,0,0,success,58.6,0
browser-use,Amazon--24,C0,1,amazon.com,899,55,51,0,0,0,success,34.6,0
browser-use,Amazon--25,C0,1,amazon.com,730,53,49,0,0,0,success,64.2,0
browser-use,Amazon--26,C0,1,amazon.com,1019,54,50,0,0,0,success,57.6,0
browser-use,Amazon--27,C0,1,amazon.com,926,52,48,0,0,0,success,54.9,0
browser-use,Amazon--28,C0,1,amazon.com,923,54,50,0,0,0,success,42.6,0
browser-use,Amazon--29,C0,1,amazon.com,934,51,47,0,0,0,success,60.1,0
browser-use,Amazon--3,C0,1,amazon.com,791,59,55,0,0,0,success,69.2,0
browser-use,Amazon--30,C0,1,amazon.com,647,51,47,0,0,0,success,55.7,0
browser-use,Amazon--31,C0,1,amazon.com,902,53,49,0,0,0,success,60.7,0
browser-use,Amazon--32,C0,1,amazon.com,1004,53,48,0,0,0,success,59.1,0
browser-use,Amazon--33,C0,1,amazon.com,682,51,47,0,0,0,success,41.4,0
browser-use,Amazon--34,C0,1,amazon.com,681,52,48,0,0,0,success,48.2,0
browser-use,Amazon--35,C0,1,amazon.com,937,53,48,0,0,0,success,40.8,0
browser-use,Amazon--36,C0,1,amazon.com,1010,55,51,0,0,0,success,48.3,0
browser-use,Amazon--37,C0,1,amazon.com,1041,52,48,0,0,0,success,43.8,0
browser-use,Amazon--38,C0,1,amazon.com,957,56,52,0,0,0,success,49.1,0
browser-use,Amazon--39,C0,1,amazon.com,680,53,49,0,0,0,success,50.4,0
browser-use,Amazon--4,C0,1,amazon.com,650,53,49,0,0,0,success,40.1,0
browser-use,Amazon--40,C0,1,amazon.com,1096,55,51,0,0,0,success,51.3,0
browser-use,Amazon--5,C0,1,amazon.com,948,57,53,0,0,0,success,66.0,0
browser-use,Amazon--6,C0,1,amazon.com,1027,53,49,0,0,0,success,56.2,0
browser-use,Amazon--7,C0,1,amazon.com,0,0,0,0,0,0,,,
browser-use,Amazon--8,C0,1,amazon.com,707,52,48,0,0,0,success,54.2,0
browser-use,Amazon--9,C0,1,amazon.com,983,54,50,0,0,0,success,47.6,0
browser-use,Apple--0,C0,1,apple.com,218,8,5,0,0,0,success,31.8,0
browser-use,Apple--1,C0,1,apple.com,223,13,9,0,0,0,success,56.5,0
browser-use,Apple--10,C0,1,apple.com,743,20,15,0,0,0,success,62.6,0
browser-use,Apple--11,C0,1,apple.com,537,10,6,0,0,0,success,46.6,0
browser-use,Apple--12,C0,1,apple.com,123,11,5,0,0,0,success,26.9,0
browser-use,Apple--13,C0,1,apple.com,998,37,34,0,0,0,success,64.1,0
browser-use,Apple--14,C0,1,apple.com,303,10,6,0,0,0,success,33.5,0
browser-use,Apple--15,C0,1,apple.com,295,10,6,0,0,0,success,28.6,0
browser-use,Apple--16,C0,1,apple.com,136,9,5,0,0,0,success,29.4,0
browser-use,Apple--17,C0,1,apple.com,276,11,7,0,0,0,success,30.1,0
browser-use,Apple--18,C0,1,apple.com,375,47,45,0,0,0,success,40.3,0
browser-use,Apple--19,C0,1,apple.com,254,12,9,0,0,0,success,37.4,0
browser-use,Apple--2,C0,1,apple.com,222,9,6,0,0,0,success,55.5,0
browser-use,Apple--20,C0,1,apple.com,1316,107,107,0,0,0,success,75.1,0
browser-use,Apple--21,C0,1,apple.com,361,10,6,0,0,0,success,27.5,0
browser-use,Apple--22,C0,1,apple.com,160,8,6,0,0,0,success,17.6,0
