agent,task,condition,success_delta_pp,records_delta_pct,unique_hosts_delta_pct,third_party_hosts_delta_pct,rq3_blocks_search_delta_pct,rq3_blocks_offdomain_delta_pct,rq3_blocks_cmp_delta_pct,duration_seconds_delta_pct
browser-use,Allrecipes--0,C2,0.0,-93.97590361445783,-90.2654867256637,-90.9090909090909,0.0,inf,0.0,44.29708222811669
browser-use,Allrecipes--0,C5,0.0,-44.126506024096386,-87.61061946902655,-88.18181818181819,0.0,0.0,0.0,22.015915119363385
browser-use,Allrecipes--0,C7,0.0,-91.1144578313253,-90.2654867256637,-90.9090909090909,0.0,inf,0.0,13.26259946949602
browser-use,Allrecipes--0,C8,0.0,-88.25301204819277,-89.38053097345133,-90.0,inf,inf,0.0,-35.0132625994695
browser-use,Allrecipes--1,C2,0.0,-95.24271844660194,-89.42307692307693,-90.0990099009901,0.0,inf,0.0,58.94039735099339
browser-use,Allrecipes--1,C5,0.0,-22.815533980582526,0.0,1.9801980198019802,0.0,0.0,0.0,-4.194260485651212
browser-use,Allrecipes--1,C7,0.0,-96.01941747572815,-87.5,-88.11881188118812,0.0,inf,0.0,-35.32008830022074
browser-use,Allrecipes--1,C8,0.0,-37.76699029126214,1.9230769230769231,1.9801980198019802,0.0,inf,0.0,-41.50110375275938
browser-use,Allrecipes--10,C2,0.0,-92.28953579858378,-86.40776699029125,-87.37864077669903,0.0,inf,0.0,18.07407407407408
browser-use,Allrecipes--10,C5,-100.0,-53.73721479150275,-83.49514563106796,-83.49514563106796,0.0,0.0,0.0,143.70370370370372
browser-use,Allrecipes--10,C7,0.0,-92.6829268292683,-88.3495145631068,-88.3495145631068,0.0,inf,0.0,-48.148148148148145
browser-use,Allrecipes--10,C8,0.0,-80.88119590873329,-30.097087378640776,-30.097087378640776,0.0,inf,inf,-58.51851851851851
browser-use,Allrecipes--11,C2,0.0,-39.83115886415963,-12.408759124087592,-12.686567164179104,0.0,inf,0.0,-27.27272727272727
browser-use,Allrecipes--11,C5,0.0,-88.871834228703,-91.97080291970804,-92.53731343283582,0.0,0.0,0.0,-36.53516295025729
browser-use,Allrecipes--11,C7,0.0,14.735226400613968,5.839416058394161,5.970149253731343,0.0,inf,0.0,-33.44768439108062
browser-use,Allrecipes--11,C8,0.0,-33.000767459708364,-7.2992700729927,-7.462686567164178,0.0,inf,0.0,-20.754716981132066
browser-use,Allrecipes--12,C2,0.0,-21.331945889698233,-21.875,-22.400000000000002,0.0,inf,0.0,-6.060606060606057
browser-use,Allrecipes--12,C5,0.0,-81.99791883454735,-90.625,-91.2,0.0,0.0,0.0,71.46464646464648
browser-use,Allrecipes--12,C7,0.0,19.87513007284079,2.34375,2.4,0.0,inf,0.0,8.83838383838384
browser-use,Allrecipes--12,C8,0.0,-6.763787721123829,0.78125,0.8,0.0,inf,0.0,-21.969696969696976
browser-use,Allrecipes--13,C2,0.0,73.30264672036823,7.936507936507936,8.130081300813007,0.0,inf,0.0,12.530120481927717
browser-use,Allrecipes--13,C5,0.0,-88.26237054085155,-93.65079365079364,-94.3089430894309,0.0,0.0,0.0,-21.445783132530117
browser-use,Allrecipes--13,C7,0.0,12.888377445339472,-6.349206349206349,-6.504065040650407,0.0,inf,0.0,-12.771084337349393
browser-use,Allrecipes--13,C8,0.0,3.33716915995397,0.0,0.0,0.0,inf,0.0,-11.807228915662646
browser-use,Allrecipes--14,C2,0.0,-9.957805907172995,-4.724409448818897,-4.838709677419355,0.0,inf,0.0,11.40350877192982
browser-use,Allrecipes--14,C5,0.0,-52.82700421940928,-87.4015748031496,-87.90322580645162,0.0,0.0,0.0,90.35087719298242
browser-use,Allrecipes--14,C7,0.0,18.31223628691983,4.724409448818897,4.838709677419355,0.0,inf,0.0,17.543859649122805
browser-use,Allrecipes--14,C8,0.0,-20.0,-3.937007874015748,-4.032258064516129,0.0,inf,0.0,35.08771929824561
browser-use,Allrecipes--15,C2,0.0,-30.46875,-14.728682170542637,-15.079365079365079,0.0,inf,0.0,-2.380952380952381
browser-use,Allrecipes--15,C5,0.0,-79.79910714285714,-90.69767441860465,-91.26984126984127,0.0,0.0,0.0,44.99999999999999
browser-use,Allrecipes--15,C7,0.0,-3.3482142857142856,-3.10077519379845,-3.1746031746031744,0.0,inf,0.0,-26.666666666666668
browser-use,Allrecipes--15,C8,0.0,27.120535714285715,-1.550387596899225,-1.5873015873015872,0.0,inf,0.0,0.476190476190483
browser-use,Allrecipes--16,C2,0.0,-33.49282296650718,-9.022556390977442,-9.230769230769232,0.0,inf,0.0,-36.53846153846153
browser-use,Allrecipes--16,C5,0.0,-55.183413078149925,-89.47368421052632,-90.0,0.0,0.0,0.0,-25.854700854700845
browser-use,Allrecipes--16,C7,0.0,12.679425837320574,-4.511278195488721,-4.615384615384616,0.0,inf,0.0,-11.111111111111102
browser-use,Allrecipes--16,C8,0.0,-22.08931419457735,-6.015037593984962,-6.153846153846154,0.0,inf,0.0,-16.025641025641026
browser-use,Allrecipes--17,C2,0.0,-86.14931237721022,-91.30434782608695,-91.77215189873418,0.0,inf,0.0,36.05313092979127
browser-use,Allrecipes--17,C5,0.0,-44.4007858546169,-90.06211180124224,-90.50632911392405,0.0,0.0,0.0,-32.827324478178376
browser-use,Allrecipes--17,C7,0.0,-90.6679764243615,-93.16770186335404,-93.67088607594937,0.0,inf,0.0,23.908918406072093
browser-use,Allrecipes--17,C8,0.0,-11.19842829076621,-19.25465838509317,-19.62025316455696,0.0,inf,0.0,-19.734345351043654
browser-use,Allrecipes--18,C2,0.0,-19.880715705765407,-3.597122302158273,-3.6764705882352944,0.0,inf,0.0,11.255411255411245
browser-use,Allrecipes--18,C5,0.0,-86.94499668654738,-91.36690647482014,-91.91176470588235,0.0,0.0,0.0,28.78787878787878
browser-use,Allrecipes--18,C7,0.0,-24.254473161033797,-10.79136690647482,-11.029411764705882,0.0,inf,0.0,-4.761904761904768
browser-use,Allrecipes--18,C8,0.0,-24.3870112657389,0.0,0.0,0.0,inf,0.0,-14.069264069264067
browser-use,Allrecipes--19,C2,0.0,-24.931002759889605,2.7522935779816518,2.8301886792452833,0.0,inf,0.0,27.272727272727295
browser-use,Allrecipes--19,C5,0.0,-81.50873965041399,-86.23853211009175,-86.79245283018868,0.0,0.0,0.0,44.62809917355373
browser-use,Allrecipes--19,C7,0.0,-5.059797608095677,0.9174311926605505,0.9433962264150944,0.0,inf,0.0,-3.0303030303030147
browser-use,Allrecipes--19,C8,0.0,1.1959521619135236,9.174311926605505,9.433962264150944,0.0,inf,0.0,-9.641873278236915
browser-use,Allrecipes--2,C2,0.0,-93.42188488298545,-91.04477611940298,-91.6030534351145,0.0,inf,0.0,-36.645962732919266
browser-use,Allrecipes--2,C5,0.0,-28.46299810246679,-22.388059701492537,-21.374045801526716,0.0,0.0,0.0,7.6086956521739
browser-use,Allrecipes--2,C7,0.0,-93.35863377609108,-90.29850746268657,-90.83969465648855,0.0,inf,0.0,-36.024844720496894
browser-use,Allrecipes--2,C8,0.0,-32.44781783681214,-8.208955223880597,-8.396946564885496,0.0,inf,0.0,-35.71428571428572
browser-use,Allrecipes--20,C2,0.0,-13.151364764267989,-9.836065573770492,-10.084033613445378,0.0,inf,0.0,18.959107806691456
browser-use,Allrecipes--20,C5,0.0,-31.141439205955336,-82.78688524590164,-83.19327731092437,0.0,0.0,0.0,145.72490706319704
browser-use,Allrecipes--20,C7,0.0,-2.481389578163772,-3.278688524590164,-3.361344537815126,0.0,inf,0.0,42.007434944237936
browser-use,Allrecipes--20,C8,0.0,-4.962779156327544,-2.459016393442623,-2.5210084033613445,0.0,inf,0.0,-18.58736059479554
browser-use,Allrecipes--21,C2,0.0,48.267008985879336,10.0,10.256410256410255,0.0,inf,0.0,81.19266055045871
browser-use,Allrecipes--21,C5,0.0,-31.70731707317073,-88.33333333333333,-88.88888888888889,0.0,0.0,0.0,169.26605504587158
browser-use,Allrecipes--21,C7,0.0,35.68677792041078,15.0,15.384615384615385,0.0,inf,0.0,65.13761467889908
browser-use,Allrecipes--21,C8,0.0,-4.7496790757381255,-3.3333333333333335,-3.418803418803419,0.0,inf,0.0,5.963302752293581
browser-use,Allrecipes--22,C2,0.0,17.599999999999998,-1.5151515151515151,-1.550387596899225,0.0,inf,0.0,31.11702127659573
browser-use,Allrecipes--22,C5,0.0,-56.64,-87.12121212121212,-87.59689922480621,0.0,0.0,0.0,55.85106382978723
browser-use,Allrecipes--22,C7,0.0,-16.16,-6.8181818181818175,-6.976744186046512,0.0,inf,0.0,-9.840425531914901
browser-use,Allrecipes--22,C8,0.0,-8.799999999999999,-9.848484848484848,-10.077519379844961,0.0,inf,0.0,11.170212765957436
browser-use,Allrecipes--23,C2,0.0,13.982300884955754,3.8834951456310676,4.0,0.0,inf,0.0,23.275862068965523
browser-use,Allrecipes--23,C5,0.0,-69.5575221238938,-85.43689320388349,-86.0,0.0,0.0,0.0,48.56321839080462
browser-use,Allrecipes--23,C7,0.0,171.50442477876106,30.097087378640776,31.0,0.0,inf,0.0,34.19540229885059
browser-use,Allrecipes--23,C8,0.0,117.69911504424779,22.330097087378643,23.0,0.0,inf,0.0,23.850574712643695
browser-use,Allrecipes--24,C2,0.0,4.754601226993866,3.6036036036036037,3.7037037037037033,0.0,inf,0.0,-0.8849557522124019
browser-use,Allrecipes--24,C5,0.0,-10.122699386503067,-85.58558558558559,-86.11111111111111,0.0,0.0,0.0,56.63716814159291
browser-use,Allrecipes--24,C7,0.0,40.95092024539878,13.513513513513514,13.88888888888889,0.0,inf,0.0,35.84070796460176
browser-use,Allrecipes--24,C8,0.0,7.515337423312883,0.9009009009009009,0.9259259259259258,0.0,inf,0.0,-19.469026548672574
browser-use,Allrecipes--25,C2,0.0,-21.15732368896926,-9.62962962962963,-9.848484848484848,0.0,inf,0.0,-25.708061002178646
browser-use,Allrecipes--25,C5,0.0,-83.99638336347198,-91.11111111111111,-91.66666666666666,0.0,0.0,0.0,25.49019607843138
browser-use,Allrecipes--25,C7,0.0,-19.981916817359853,-9.62962962962963,-9.848484848484848,0.0,inf,0.0,-8.061002178649227
browser-use,Allrecipes--25,C8,0.0,-15.913200723327305,-8.148148148148149,-8.333333333333332,0.0,inf,0.0,5.228758169934638
browser-use,Allrecipes--26,C2,0.0,49.584487534626035,11.403508771929824,11.711711711711711,0.0,inf,0.0,22.413793103448292
browser-use,Allrecipes--26,C5,0.0,-76.86980609418282,-89.47368421052632,-90.09009009009009,0.0,0.0,0.0,10.344827586206902
browser-use,Allrecipes--26,C7,0.0,29.362880886426595,10.526315789473683,10.81081081081081,0.0,inf,0.0,-9.770114942528732
browser-use,Allrecipes--26,C8,0.0,60.664819944598335,13.157894736842104,13.513513513513514,0.0,inf,0.0,7.471264367816096
browser-use,Allrecipes--27,C2,0.0,2.6402640264026402,-8.148148148148149,-8.333333333333332,0.0,inf,0.0,8.252427184466015
browser-use,Allrecipes--27,C5,0.0,-77.33773377337734,-91.11111111111111,-91.66666666666666,0.0,0.0,0.0,57.76699029126212
browser-use,Allrecipes--27,C7,0.0,-12.761276127612762,-11.851851851851853,-12.121212121212121,0.0,inf,0.0,6.067961165048543
browser-use,Allrecipes--27,C8,0.0,-8.47084708470847,-11.11111111111111,-11.363636363636363,0.0,inf,0.0,10.436893203883487
browser-use,Allrecipes--28,C2,0.0,-17.307692307692307,-8.333333333333332,-8.527131782945736,0.0,inf,0.0,-11.111111111111116
browser-use,Allrecipes--28,C5,0.0,-82.12669683257919,-90.9090909090909,-91.47286821705426,0.0,0.0,0.0,64.22764227642277
browser-use,Allrecipes--28,C7,0.0,-12.330316742081449,-5.303030303030303,-5.426356589147287,0.0,inf,0.0,-11.3821138211382
browser-use,Allrecipes--28,C8,0.0,-4.411764705882353,-8.333333333333332,-8.527131782945736,inf,inf,0.0,-10.298102981029803
browser-use,Allrecipes--29,C2,0.0,8.537490720118782,-1.5384615384615385,-1.574803149606299,0.0,inf,0.0,6.3596491228070136
browser-use,Allrecipes--29,C5,0.0,-86.0430586488493,-90.76923076923077,-91.33858267716536,0.0,0.0,0.0,-29.166666666666675
browser-use,Allrecipes--29,C7,0.0,-6.087602078693393,6.923076923076923,7.086614173228346,0.0,inf,0.0,-12.06140350877193
browser-use,Allrecipes--29,C8,0.0,-4.157386785449146,3.076923076923077,3.149606299212598,0.0,inf,0.0,1.0964912280701753
browser-use,Allrecipes--3,C2,0.0,23.08868501529052,7.339449541284404,7.547169811320755,0.0,inf,0.0,0.0
browser-use,Allrecipes--3,C5,0.0,-81.34556574923548,-88.9908256880734,-89.62264150943396,0.0,0.0,0.0,23.50119904076738
browser-use,Allrecipes--3,C7,0.0,27.675840978593275,15.59633027522936,16.037735849056602,0.0,inf,0.0,-22.78177458033573
browser-use,Allrecipes--3,C8,0.0,19.418960244648318,15.59633027522936,16.037735849056602,0.0,inf,0.0,-26.37889688249401
browser-use,Allrecipes--30,C2,0.0,-35.984848484848484,-17.1875,-17.599999999999998,0.0,inf,0.0,-17.33333333333333
browser-use,Allrecipes--30,C5,0.0,-68.3080808080808,-89.0625,-89.60000000000001,0.0,0.0,0.0,-22.888888888888882
browser-use,Allrecipes--30,C7,0.0,-36.80555555555556,-3.125,-3.2,0.0,inf,0.0,-4.8888888888888955
browser-use,Allrecipes--30,C8,0.0,2.7777777777777777,-2.34375,-2.4,0.0,inf,0.0,1.999999999999997
browser-use,Allrecipes--31,C2,0.0,96.66666666666667,33.33333333333333,34.31372549019608,0.0,inf,0.0,15.517241379310336
browser-use,Allrecipes--31,C5,0.0,-29.841269841269842,-83.80952380952381,-84.31372549019608,0.0,0.0,0.0,-7.881773399014786
browser-use,Allrecipes--31,C7,0.0,73.33333333333333,25.71428571428571,26.47058823529412,0.0,inf,0.0,25.12315270935959
browser-use,Allrecipes--31,C8,0.0,98.09523809523809,15.238095238095239,15.686274509803921,0.0,inf,0.0,-14.285714285714295
