agent,condition,n,median,mean,std,delta_pct_vs_C0
fara-7b,C0,15,603.0,641.5,481.1,+0.00
fara-7b,C1,7,256.0,390.7,382.3,-57.55
fara-7b,C1S,14,350.0,527.1,521.3,-41.96
fara-7b,C1P,14,340.0,499.4,466.3,-43.62
fara-7b,C2,15,643.0,529.8,411.1,+6.63
fara-7b,C2S,14,762.0,642.9,384.5,+26.37
fara-7b,C2P,14,348.0,424.6,393.4,-42.29
fara-7b,C7,15,178.0,352.1,348.5,-70.48
fara-7b,C8,15,182.0,288.0,346.8,-69.82
browser-use,C0,4,402.5,424.0,238.6,+0.00
browser-use,C1,4,212.0,232.0,177.9,-47.33
browser-use,C1S,14,390.0,483.6,373.5,-3.11
browser-use,C1P,14,243.0,283.9,268.0,-39.63
browser-use,C2,4,267.5,265.0,181.7,-33.54
browser-use,C2S,14,264.0,281.7,277.5,-34.41
browser-use,C2P,14,47.0,250.1,436.1,-88.32
browser-use,C7,4,127.0,174.5,157.6,-68.45
browser-use,C8,4,257.0,300.0,206.1,-36.15
