agent,task,condition,n_reps,success_rate,dominant_status,records_median,records_ci_lo,records_ci_hi,unique_hosts_median,unique_hosts_ci_lo,unique_hosts_ci_hi,third_party_hosts_median,third_party_hosts_ci_lo,third_party_hosts_ci_hi,rq3_blocks_search_median,rq3_blocks_search_ci_lo,rq3_blocks_search_ci_hi,rq3_blocks_offdomain_median,rq3_blocks_offdomain_ci_lo,rq3_blocks_offdomain_ci_hi,rq3_blocks_cmp_median,rq3_blocks_cmp_ci_lo,rq3_blocks_cmp_ci_hi,duration_seconds_median,duration_seconds_ci_lo,duration_seconds_ci_hi
browser-use,Amazon--32,C0,1,1.0,success,953,953,953,53,53,53,49,49,49,0,0,0,0,0,0,0,0,0,36.3,36.3,36.3
browser-use,Amazon--32,C1,1,1.0,success,676,676,676,52,52,52,48,48,48,0,0,0,0,0,0,0,0,0,54.0,54.0,54.0
browser-use,Amazon--32,C2,1,1.0,success,865,865,865,17,17,17,13,13,13,0,0,0,3,3,3,0,0,0,47.7,47.7,47.7
browser-use,Amazon--32,C3,1,1.0,success,946,946,946,16,16,16,11,11,11,0,0,0,4,4,4,0,0,0,59.4,59.4,59.4
browser-use,Amazon--32,C4,1,1.0,success,757,757,757,52,52,52,48,48,48,0,0,0,0,0,0,0,0,0,51.1,51.1,51.1
browser-use,Amazon--32,C5,1,1.0,success,707,707,707,54,54,54,50,50,50,0,0,0,0,0,0,0,0,0,48.8,48.8,48.8
browser-use,Amazon--32,C6,1,1.0,success,753,753,753,54,54,54,50,50,50,0,0,0,0,0,0,0,0,0,55.6,55.6,55.6
browser-use,Amazon--32,C7,1,1.0,success,833,833,833,13,13,13,9,9,9,0,0,0,3,3,3,0,0,0,36.9,36.9,36.9
browser-use,Amazon--32,C8,1,1.0,success,1149,1149,1149,13,13,13,9,9,9,0,0,0,5,5,5,0,0,0,53.5,53.5,53.5
browser-use,ArXiv--17,C0,1,1.0,success,649,649,649,23,23,23,21,21,21,0,0,0,0,0,0,0,0,0,37.5,37.5,37.5
browser-use,ArXiv--17,C1,1,1.0,success,65,65,65,13,13,13,11,11,11,2,2,2,0,0,0,0,0,0,42.8,42.8,42.8
browser-use,ArXiv--17,C2,1,1.0,success,105,105,105,14,14,14,13,13,13,0,0,0,3,3,3,0,0,0,34.7,34.7,34.7
browser-use,ArXiv--17,C3,1,1.0,success,43,43,43,10,10,10,8,8,8,2,2,2,0,0,0,0,0,0,20.5,20.5,20.5
browser-use,ArXiv--17,C4,1,1.0,success,482,482,482,20,20,20,18,18,18,0,0,0,0,0,0,0,0,0,52.7,52.7,52.7
browser-use,ArXiv--17,C5,1,1.0,success,535,535,535,19,19,19,17,17,17,0,0,0,0,0,0,0,0,0,59.9,59.9,59.9
browser-use,ArXiv--17,C6,1,1.0,success,60,60,60,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,60.3,60.3,60.3
browser-use,ArXiv--17,C7,1,1.0,success,92,92,92,11,11,11,10,10,10,0,0,0,4,4,4,0,0,0,29.9,29.9,29.9
browser-use,ArXiv--17,C8,1,1.0,success,76,76,76,11,11,11,10,10,10,3,3,3,1,1,1,0,0,0,43.8,43.8,43.8
browser-use,Booking--3,C0,1,1.0,success,320,320,320,42,42,42,37,37,37,0,0,0,0,0,0,0,0,0,49.7,49.7,49.7
browser-use,Booking--3,C1,1,1.0,success,311,311,311,42,42,42,37,37,37,0,0,0,0,0,0,0,0,0,43.8,43.8,43.8
browser-use,Booking--3,C2,1,1.0,success,808,808,808,44,44,44,37,37,37,0,0,0,6,6,6,0,0,0,47.0,47.0,47.0
browser-use,Booking--3,C3,1,1.0,success,615,615,615,41,41,41,34,34,34,0,0,0,9,9,9,0,0,0,46.9,46.9,46.9
browser-use,Booking--3,C4,1,1.0,success,755,755,755,49,49,49,43,43,43,0,0,0,0,0,0,6,6,6,54.7,54.7,54.7
browser-use,Booking--3,C5,1,1.0,success,315,315,315,42,42,42,37,37,37,0,0,0,0,0,0,0,0,0,37.8,37.8,37.8
browser-use,Booking--3,C6,1,1.0,success,293,293,293,38,38,38,34,34,34,0,0,0,0,0,0,2,2,2,44.2,44.2,44.2
browser-use,Booking--3,C7,1,1.0,success,153,153,153,14,14,14,13,13,13,0,0,0,4,4,4,0,0,0,72.7,72.7,72.7
browser-use,Booking--3,C8,1,1.0,success,788,788,788,38,38,38,32,32,32,0,0,0,12,12,12,6,6,6,36.9,36.9,36.9
browser-use,Coursera--21,C0,1,1.0,success,465,465,465,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,33.0,33.0,33.0
browser-use,Coursera--21,C1,1,1.0,success,512,512,512,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,41.1,41.1,41.1
browser-use,Coursera--21,C2,1,1.0,success,336,336,336,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,41.4,41.4,41.4
browser-use,Coursera--21,C3,1,1.0,success,513,513,513,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,40.5,40.5,40.5
browser-use,Coursera--21,C4,1,1.0,success,510,510,510,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,43.5,43.5,43.5
browser-use,Coursera--21,C5,1,1.0,success,460,460,460,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,19.7,19.7,19.7
browser-use,Coursera--21,C6,1,1.0,success,467,467,467,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,28.3,28.3,28.3
browser-use,Coursera--21,C7,1,1.0,success,470,470,470,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,26.0,26.0,26.0
browser-use,Coursera--21,C8,1,1.0,success,514,514,514,11,11,11,10,10,10,0,0,0,0,0,0,0,0,0,40.9,40.9,40.9
browser-use,Google_Map--35,C0,1,1.0,success,680,680,680,22,22,22,18,18,18,0,0,0,0,0,0,0,0,0,40.3,40.3,40.3
browser-use,Google_Map--35,C1,1,1.0,success,109,109,109,13,13,13,9,9,9,2,2,2,0,0,0,0,0,0,40.1,40.1,40.1
browser-use,Google_Map--35,C2,1,1.0,success,95,95,95,13,13,13,9,9,9,0,0,0,4,4,4,0,0,0,72.3,72.3,72.3
browser-use,Google_Map--35,C3,1,1.0,success,77,77,77,12,12,12,6,6,6,3,3,3,2,2,2,0,0,0,52.8,52.8,52.8
browser-use,Google_Map--35,C4,1,1.0,success,973,973,973,70,70,70,65,65,65,0,0,0,0,0,0,0,0,0,68.9,68.9,68.9
browser-use,Google_Map--35,C5,1,1.0,success,652,652,652,22,22,22,18,18,18,0,0,0,0,0,0,0,0,0,38.4,38.4,38.4
browser-use,Google_Map--35,C6,1,1.0,success,175,175,175,16,16,16,12,12,12,0,0,0,0,0,0,0,0,0,31.1,31.1,31.1
browser-use,Google_Map--35,C7,1,1.0,success,94,94,94,12,12,12,8,8,8,0,0,0,5,5,5,0,0,0,30.0,30.0,30.0
browser-use,Google_Map--35,C8,1,1.0,success,164,164,164,19,19,19,15,15,15,0,0,0,1,1,1,0,0,0,29.3,29.3,29.3
browser-use,Google_Search--28,C0,1,1.0,success,1778,1778,1778,239,239,239,234,234,234,0,0,0,0,0,0,0,0,0,76.4,76.4,76.4
browser-use,Google_Search--28,C1,1,1.0,success,1097,1097,1097,213,213,213,208,208,208,2,2,2,0,0,0,0,0,0,52.2,52.2,52.2
browser-use,Google_Search--28,C2,1,1.0,success,94,94,94,13,13,13,9,9,9,0,0,0,4,4,4,0,0,0,30.5,30.5,30.5
browser-use,Google_Search--28,C3,1,1.0,success,22,22,22,9,9,9,5,5,5,0,0,0,1,1,1,0,0,0,31.6,31.6,31.6
browser-use,Google_Search--28,C4,1,1.0,success,596,596,596,16,16,16,12,12,12,0,0,0,0,0,0,0,0,0,35.8,35.8,35.8
browser-use,Google_Search--28,C5,1,1.0,success,706,706,706,30,30,30,26,26,26,0,0,0,0,0,0,0,0,0,47.0,47.0,47.0
browser-use,Google_Search--28,C6,1,1.0,success,797,797,797,210,210,210,205,205,205,4,4,4,0,0,0,1,1,1,47.0,47.0,47.0
browser-use,Google_Search--28,C7,1,1.0,success,96,96,96,12,12,12,8,8,8,0,0,0,5,5,5,0,0,0,53.7,53.7,53.7
browser-use,Google_Search--28,C8,1,1.0,success,18,18,18,8,8,8,4,4,4,0,0,0,0,0,0,0,0,0,27.4,27.4,27.4
fara-7b,Amazon--32,C0,3,0.6666666666666666,success,1356,1355,2312,33,32,55,27,26,48,0,0,0,0,0,0,0,0,0,72.7,72.0,121.2
fara-7b,Amazon--32,C1,1,1.0,success,1368,1368,1368,35,35,35,30,30,30,0,0,0,0,0,0,0,0,0,68.7,68.7,68.7
fara-7b,Amazon--32,C2,3,1.0,success,1136,1121,1386,13,11,14,6,5,9,0,0,0,12,6,20,0,0,0,71.8,53.6,98.9
fara-7b,Amazon--32,C3,1,1.0,success,871,871,871,13,13,13,8,8,8,0,0,0,10,10,10,0,0,0,47.6,47.6,47.6
fara-7b,Amazon--32,C4,1,1.0,success,1380,1380,1380,35,35,35,29,29,29,0,0,0,0,0,0,0,0,0,68.7,68.7,68.7
fara-7b,Amazon--32,C5,1,1.0,success,1404,1404,1404,52,52,52,46,46,46,0,0,0,0,0,0,0,0,0,70.7,70.7,70.7
fara-7b,Amazon--32,C6,1,0.0,hit_max_rounds,1943,1943,1943,55,55,55,50,50,50,0,0,0,0,0,0,0,0,0,120.7,120.7,120.7
fara-7b,Amazon--32,C7,3,1.0,success,1096,1075,1098,12,12,15,6,6,9,0,0,0,13,11,13,0,0,0,68.3,66.5,74.4
fara-7b,Amazon--32,C8,3,1.0,success,919,918,1365,11,11,14,5,5,7,0,0,0,12,10,14,0,0,0,47.1,45.6,102.2
fara-7b,Apple--29,C0,1,0.0,hit_max_rounds,336,336,336,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,98.9,98.9,98.9
fara-7b,Apple--29,C1,1,1.0,success,200,200,200,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,83.8,83.8,83.8
fara-7b,Apple--29,C2,1,0.0,hit_max_rounds,308,308,308,5,5,5,1,1,1,0,0,0,0,0,0,0,0,0,98.2,98.2,98.2
fara-7b,Apple--29,C3,1,1.0,success,185,185,185,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,66.0
fara-7b,Apple--29,C4,1,1.0,success,294,294,294,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,91.7,91.7,91.7
fara-7b,Apple--29,C5,1,1.0,success,295,295,295,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,90.4,90.4,90.4
fara-7b,Apple--29,C6,1,1.0,success,295,295,295,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,83.5,83.5,83.5
fara-7b,Apple--29,C7,1,1.0,success,282,282,282,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,72.6,72.6,72.6
fara-7b,Apple--29,C8,1,0.0,hit_max_rounds,65,65,65,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,86.6,86.6,86.6
fara-7b,ArXiv--17,C0,3,1.0,success,239,235,247,13,13,13,11,11,11,0,0,0,0,0,0,0,0,0,49.5,48.7,61.1
fara-7b,ArXiv--17,C1,1,1.0,success,97,97,97,6,6,6,4,4,4,0,0,0,0,0,0,0,0,0,81.4,81.4,81.4
fara-7b,ArXiv--17,C2,3,0.0,hit_max_rounds,91,85,102,7,7,7,5,5,5,0,0,0,7,5,8,0,0,0,94.5,94.2,94.8
fara-7b,ArXiv--17,C3,1,1.0,success,108,108,108,6,6,6,4,4,4,0,0,0,0,0,0,0,0,0,94.7,94.7,94.7
fara-7b,ArXiv--17,C4,1,1.0,success,234,234,234,12,12,12,10,10,10,0,0,0,0,0,0,0,0,0,39.7,39.7,39.7
fara-7b,ArXiv--17,C5,1,1.0,success,60,60,60,5,5,5,3,3,3,0,0,0,0,0,0,0,0,0,46.1,46.1,46.1
fara-7b,ArXiv--17,C6,1,0.0,hit_max_rounds,60,60,60,5,5,5,3,3,3,0,0,0,0,0,0,0,0,0,101.5,101.5,101.5
fara-7b,ArXiv--17,C7,3,0.0,hit_max_rounds,86,59,114,7,6,7,5,4,5,0,0,0,3,3,11,0,0,0,93.7,92.7,94.9
fara-7b,ArXiv--17,C8,3,0.6666666666666666,success,86,13,91,6,1,6,4,0,4,0,0,0,0,0,0,0,0,0,66.0,53.7,80.1
fara-7b,Booking--3,C0,3,0.0,hit_max_rounds,747,704,788,57,55,58,49,48,50,0,0,0,0,0,0,0,0,0,109.2,108.6,110.0
fara-7b,Booking--3,C1,1,0.0,hit_max_rounds,699,699,699,54,54,54,47,47,47,0,0,0,0,0,0,0,0,0,106.3,106.3,106.3
fara-7b,Booking--3,C2,3,0.0,hit_max_rounds,712,678,756,49,47,50,41,39,42,0,0,0,14,10,15,0,0,0,104.0,102.9,107.3
fara-7b,Booking--3,C3,1,0.0,hit_max_rounds,356,356,356,33,33,33,28,28,28,0,0,0,7,7,7,0,0,0,104.3,104.3,104.3
fara-7b,Booking--3,C4,1,0.0,hit_max_rounds,624,624,624,54,54,54,47,47,47,0,0,0,0,0,0,4,4,4,109.7,109.7,109.7
fara-7b,Booking--3,C5,1,0.0,hit_max_rounds,774,774,774,59,59,59,52,52,52,0,0,0,0,0,0,0,0,0,105.7,105.7,105.7
fara-7b,Booking--3,C6,1,0.0,hit_max_rounds,599,599,599,51,51,51,45,45,45,0,0,0,0,0,0,4,4,4,109.7,109.7,109.7
fara-7b,Booking--3,C7,3,0.0,hit_max_rounds,616,587,664,44,40,45,37,34,38,0,0,0,11,11,14,4,4,4,107.1,105.0,110.9
fara-7b,Booking--3,C8,3,0.0,hit_max_rounds,558,355,783,40,30,44,34,26,37,0,0,0,10,8,10,5,2,6,108.8,103.9,109.8
fara-7b,Coursera--21,C0,3,1.0,success,555,554,812,39,39,40,37,37,38,0,0,0,0,0,0,0,0,0,30.7,28.8,40.0
fara-7b,Coursera--21,C1,1,1.0,success,542,542,542,39,39,39,37,37,37,0,0,0,0,0,0,0,0,0,26.6,26.6,26.6
fara-7b,Coursera--21,C2,3,1.0,success,832,826,842,39,38,39,37,36,37,0,0,0,2,2,2,0,0,0,30.9,30.3,34.5
fara-7b,Coursera--21,C3,1,1.0,success,654,654,654,38,38,38,36,36,36,0,0,0,1,1,1,0,0,0,43.8,43.8,43.8
fara-7b,Coursera--21,C4,1,1.0,success,293,293,293,9,9,9,8,8,8,0,0,0,0,0,0,2,2,2,25.7,25.7,25.7
fara-7b,Coursera--21,C5,1,1.0,success,809,809,809,40,40,40,38,38,38,0,0,0,0,0,0,0,0,0,29.1,29.1,29.1
fara-7b,Coursera--21,C6,1,1.0,success,437,437,437,9,9,9,8,8,8,0,0,0,0,0,0,3,3,3,27.8,27.8,27.8
fara-7b,Coursera--21,C7,3,1.0,success,429,338,431,10,9,10,9,8,9,0,0,0,0,0,0,3,2,3,27.8,26.3,41.9
fara-7b,Coursera--21,C8,3,1.0,success,434,295,435,9,9,10,8,8,9,0,0,0,0,0,0,3,2,3,27.4,25.3,32.5
fara-7b,GitHub--35,C0,1,1.0,success,438,438,438,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,37.3,37.3,37.3
fara-7b,GitHub--35,C1,1,1.0,success,302,302,302,7,7,7,4,4,4,0,0,0,0,0,0,0,0,0,24.6,24.6,24.6
fara-7b,GitHub--35,C2,1,0.0,hit_max_rounds,180,180,180,5,5,5,2,2,2,0,0,0,5,5,5,0,0,0,93.9,93.9,93.9
fara-7b,GitHub--35,C3,1,1.0,success,323,323,323,7,7,7,4,4,4,0,0,0,0,0,0,0,0,0,31.3,31.3,31.3
fara-7b,GitHub--35,C4,1,1.0,success,404,404,404,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,42.8,42.8,42.8
fara-7b,GitHub--35,C5,1,1.0,success,479,479,479,10,10,10,7,7,7,0,0,0,0,0,0,0,0,0,48.9,48.9,48.9
fara-7b,GitHub--35,C6,1,1.0,success,318,318,318,7,7,7,4,4,4,0,0,0,0,0,0,0,0,0,30.7,30.7,30.7
fara-7b,GitHub--35,C7,1,0.0,hit_max_rounds,203,203,203,5,5,5,2,2,2,0,0,0,8,8,8,0,0,0,96.1,96.1,96.1
fara-7b,GitHub--35,C8,1,1.0,success,324,324,324,7,7,7,4,4,4,0,0,0,0,0,0,0,0,0,32.0,32.0,32.0
fara-7b,Google_Flights--34,C0,1,0.0,hit_max_rounds,143,143,143,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,108.5,108.5,108.5
fara-7b,Google_Flights--34,C1,1,0.0,hit_max_rounds,142,142,142,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,106.8,106.8,106.8
fara-7b,Google_Flights--34,C2,1,0.0,hit_max_rounds,142,142,142,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,107.6,107.6,107.6
fara-7b,Google_Flights--34,C3,1,0.0,hit_max_rounds,143,143,143,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,106.8,106.8,106.8
fara-7b,Google_Flights--34,C4,1,0.0,hit_max_rounds,142,142,142,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,103.0,103.0,103.0
fara-7b,Google_Flights--34,C5,1,0.0,hit_max_rounds,121,121,121,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,105.7,105.7,105.7
fara-7b,Google_Flights--34,C6,1,0.0,hit_max_rounds,130,130,130,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,105.1,105.1,105.1
fara-7b,Google_Flights--34,C7,1,0.0,hit_max_rounds,121,121,121,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,106.2,106.2,106.2
fara-7b,Google_Flights--34,C8,1,0.0,hit_max_rounds,142,142,142,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,105.6,105.6,105.6
fara-7b,Google_Map--35,C0,3,0.3333333333333333,success,802,507,1082,76,14,86,69,9,79,0,0,0,0,0,0,0,0,0,73.4,29.2,165.0
fara-7b,Google_Map--35,C1,1,1.0,success,829,829,829,78,78,78,71,71,71,46,46,46,0,0,0,0,0,0,162.2,162.2,162.2
fara-7b,Google_Map--35,C2,3,0.3333333333333333,hit_max_rounds,395,375,408,14,14,14,9,9,9,0,0,0,8,5,11,0,0,0,92.8,65.3,98.6
fara-7b,Google_Map--35,C3,1,0.0,hit_max_rounds,354,354,354,12,12,12,7,7,7,35,35,35,0,0,0,0,0,0,81.9,81.9,81.9
fara-7b,Google_Map--35,C4,1,1.0,success,785,785,785,24,24,24,19,19,19,0,0,0,0,0,0,0,0,0,63.7,63.7,63.7
