agent,task,condition,rep,target_etld1,records,unique_hosts,third_party_hosts,rq3_blocks_search,rq3_blocks_offdomain,rq3_blocks_cmp,task_success,duration_seconds,return_code
browser-use,Amazon--32,C0,1,amazon.com,953,53,49,0,0,0,success,36.3,0
browser-use,ArXiv--17,C0,1,arxiv.org,649,23,21,0,0,0,success,37.5,0
browser-use,Booking--3,C0,1,booking.com,320,42,37,0,0,0,success,49.7,0
browser-use,Coursera--21,C0,1,coursera.org,465,11,10,0,0,0,success,33.0,0
browser-use,Google_Map--35,C0,1,google.com,680,22,18,0,0,0,success,40.3,0
browser-use,Google_Search--28,C0,1,google.com,1778,239,234,0,0,0,success,76.4,0
browser-use,Amazon--32,C1,1,amazon.com,676,52,48,0,0,0,success,54.0,0
browser-use,ArXiv--17,C1,1,arxiv.org,65,13,11,2,0,0,success,42.8,0
browser-use,Booking--3,C1,1,booking.com,311,42,37,0,0,0,success,43.8,0
browser-use,Coursera--21,C1,1,coursera.org,512,11,10,0,0,0,success,41.1,0
browser-use,Google_Map--35,C1,1,google.com,109,13,9,2,0,0,success,40.1,0
browser-use,Google_Search--28,C1,1,google.com,1097,213,208,2,0,0,success,52.2,0
browser-use,Amazon--32,C2,1,amazon.com,865,17,13,0,3,0,success,47.7,0
browser-use,ArXiv--17,C2,1,arxiv.org,105,14,13,0,3,0,success,34.7,0
browser-use,Booking--3,C2,1,booking.com,808,44,37,0,6,0,success,47.0,0
browser-use,Coursera--21,C2,1,coursera.org,336,11,10,0,0,0,success,41.4,0
browser-use,Google_Map--35,C2,1,google.com,95,13,9,0,4,0,success,72.3,0
browser-use,Google_Search--28,C2,1,google.com,94,13,9,0,4,0,success,30.5,0
browser-use,Amazon--32,C3,1,amazon.com,946,16,11,0,4,0,success,59.4,0
browser-use,ArXiv--17,C3,1,arxiv.org,43,10,8,2,0,0,success,20.5,0
browser-use,Booking--3,C3,1,booking.com,615,41,34,0,9,0,success,46.9,0
browser-use,Coursera--21,C3,1,coursera.org,513,11,10,0,0,0,success,40.5,0
browser-use,Google_Map--35,C3,1,google.com,77,12,6,3,2,0,success,52.8,0
browser-use,Google_Search--28,C3,1,google.com,22,9,5,0,1,0,success,31.6,0
browser-use,Amazon--32,C4,1,amazon.com,757,52,48,0,0,0,success,51.1,0
browser-use,ArXiv--17,C4,1,arxiv.org,482,20,18,0,0,0,success,52.7,0
