agent,task,condition,rep,pseudo_id_count,pseudo_id_url_param,pseudo_id_cookie_header,pseudo_id_set_cookie
fara-7b,Google_Map--35,C4,01,561,7,501,53
fara-7b,Coursera--21,C4,01,110,4,104,2
fara-7b,ArXiv--17,C4,01,103,4,59,40
fara-7b,Booking--3,C4,01,415,22,245,148
fara-7b,Huggingface--14,C4,01,37,0,35,2
fara-7b,Google_Search--28,C4,01,264,10,194,60
fara-7b,Apple--29,C4,01,338,3,293,42
fara-7b,Google_Flights--34,C4,01,103,0,97,6
fara-7b,Amazon--32,C4,01,1145,48,1041,56
fara-7b,GitHub--35,C4,01,185,3,120,62
fara-7b,Google_Map--35,C6,01,1607,103,1349,155
fara-7b,Coursera--21,C6,01,182,10,170,2
fara-7b,ArXiv--17,C6,01,1,0,0,1
fara-7b,Booking--3,C6,01,404,21,232,151
fara-7b,Huggingface--14,C6,01,39,0,37,2
fara-7b,Google_Search--28,C6,01,2772,210,1296,1266
fara-7b,Apple--29,C6,01,332,3,294,35
fara-7b,Google_Flights--34,C6,01,90,0,84,6
fara-7b,Amazon--32,C6,01,1942,60,1767,115
fara-7b,GitHub--35,C6,01,73,0,70,3
fara-7b,Google_Map--35,C7,02,294,0,291,3
fara-7b,Google_Map--35,C7,03,293,0,290,3
fara-7b,Google_Map--35,C7,01,406,0,403,3
fara-7b,Coursera--21,C7,02,177,7,168,2
fara-7b,Coursera--21,C7,03,176,7,167,2
fara-7b,Coursera--21,C7,01,151,6,143,2
fara-7b,ArXiv--17,C7,02,14,0,12,2
fara-7b,ArXiv--17,C7,03,12,0,10,2
fara-7b,ArXiv--17,C7,01,1,0,0,1
fara-7b,Booking--3,C7,02,385,19,237,129
fara-7b,Booking--3,C7,03,358,19,216,123
fara-7b,Booking--3,C7,01,424,19,267,138
fara-7b,Huggingface--14,C7,01,32,0,32,0
fara-7b,Google_Search--28,C7,02,79,0,72,7
fara-7b,Google_Search--28,C7,03,79,0,72,7
fara-7b,Google_Search--28,C7,01,132,0,118,14
fara-7b,Apple--29,C7,01,320,2,281,37
fara-7b,Google_Flights--34,C7,01,82,0,76,6
fara-7b,Amazon--32,C7,02,835,19,807,9
fara-7b,Amazon--32,C7,03,909,22,878,9
fara-7b,Amazon--32,C7,01,1058,19,980,59
fara-7b,GitHub--35,C7,01,48,0,45,3
fara-7b,Google_Map--35,C2,02,321,0,317,4
fara-7b,Google_Map--35,C2,03,285,0,281,4
fara-7b,Google_Map--35,C2,01,296,0,293,3
fara-7b,Coursera--21,C2,02,679,79,479,121
fara-7b,Coursera--21,C2,03,659,82,456,121
fara-7b,Coursera--21,C2,01,705,108,479,118
fara-7b,ArXiv--17,C2,02,15,0,13,2
fara-7b,ArXiv--17,C2,03,12,0,10,2
fara-7b,ArXiv--17,C2,01,13,0,12,1
fara-7b,Booking--3,C2,02,452,50,260,142
fara-7b,Booking--3,C2,03,478,50,273,155
fara-7b,Booking--3,C2,01,510,51,303,156
fara-7b,Huggingface--14,C2,01,32,0,32,0
fara-7b,Google_Search--28,C2,02,55,0,50,5
fara-7b,Google_Search--28,C2,03,79,0,72,7
fara-7b,Google_Search--28,C2,01,78,0,71,7
fara-7b,Apple--29,C2,01,290,3,215,72
fara-7b,Google_Flights--34,C2,01,100,0,97,3
fara-7b,Amazon--32,C2,02,709,50,627,32
fara-7b,Amazon--32,C2,03,1217,28,1180,9
fara-7b,Amazon--32,C2,01,1070,20,1018,32
fara-7b,GitHub--35,C2,01,28,0,25,3
fara-7b,Google_Map--35,C5,01,346,0,342,4
fara-7b,Coursera--21,C5,01,711,83,505,123
fara-7b,ArXiv--17,C5,01,1,0,0,1
fara-7b,Booking--3,C5,01,591,53,345,193
fara-7b,Huggingface--14,C5,01,37,0,35,2
fara-7b,Google_Search--28,C5,01,339,8,226,105
fara-7b,Apple--29,C5,01,339,3,294,42
fara-7b,Google_Flights--34,C5,01,79,0,76,3
fara-7b,Amazon--32,C5,01,1217,52,1060,105
fara-7b,GitHub--35,C5,01,312,7,170,135
fara-7b,Google_Map--35,C8,02,301,0,298,3
fara-7b,Google_Map--35,C8,03,269,0,265,4
fara-7b,Google_Map--35,C8,01,358,0,354,4
fara-7b,Coursera--21,C8,02,188,10,176,2
fara-7b,Coursera--21,C8,03,110,4,104,2
fara-7b,Coursera--21,C8,01,181,7,172,2
fara-7b,ArXiv--17,C8,02,17,0,15,2
fara-7b,ArXiv--17,C8,03,0,0,0,0
fara-7b,ArXiv--17,C8,01,18,0,15,3
fara-7b,Booking--3,C8,02,207,4,132,71
fara-7b,Booking--3,C8,03,313,17,187,109
fara-7b,Booking--3,C8,01,364,18,224,122
fara-7b,Huggingface--14,C8,01,35,0,35,0
fara-7b,Google_Search--28,C8,02,73,0,68,5
fara-7b,Google_Search--28,C8,03,173,0,156,17
fara-7b,Google_Search--28,C8,01,123,0,112,11
fara-7b,Apple--29,C8,01,80,1,64,15
fara-7b,Google_Flights--34,C8,01,100,0,97,3
fara-7b,Amazon--32,C8,02,575,30,537,8
fara-7b,Amazon--32,C8,03,537,20,508,9
fara-7b,Amazon--32,C8,01,1365,27,1306,32
fara-7b,GitHub--35,C8,01,79,0,75,4
fara-7b,Google_Map--35,C3,01,286,0,283,3
fara-7b,Coursera--21,C3,01,620,82,441,97
fara-7b,ArXiv--17,C3,01,26,0,22,4
fara-7b,Booking--3,C3,01,222,13,129,80
fara-7b,Huggingface--14,C3,01,34,0,34,0
fara-7b,Google_Search--28,C3,01,173,0,155,18
fara-7b,Apple--29,C3,01,210,2,184,24
fara-7b,Google_Flights--34,C3,01,103,0,97,6
fara-7b,Amazon--32,C3,01,523,11,503,9
fara-7b,GitHub--35,C3,01,78,0,74,4
fara-7b,Google_Map--35,C1,01,1224,72,1011,141
fara-7b,Coursera--21,C1,01,441,47,320,74
fara-7b,ArXiv--17,C1,01,20,0,17,3
fara-7b,Booking--3,C1,01,513,52,293,168
fara-7b,Huggingface--14,C1,01,37,0,35,2
fara-7b,Google_Search--28,C1,01,134,4,108,22
fara-7b,Apple--29,C1,01,240,3,199,38
fara-7b,Google_Flights--34,C1,01,103,0,97,6
fara-7b,Amazon--32,C1,01,1103,39,1011,53
fara-7b,GitHub--35,C1,01,67,0,64,3
fara-7b,Google_Map--35,C0,02,1461,81,1145,235
fara-7b,Google_Map--35,C0,03,772,39,625,108
fara-7b,Google_Map--35,C0,01,374,0,371,3
fara-7b,Coursera--21,C0,02,456,59,321,76
fara-7b,Coursera--21,C0,03,485,49,343,93
fara-7b,Coursera--21,C0,01,706,81,507,118
fara-7b,ArXiv--17,C0,02,113,4,67,42
fara-7b,ArXiv--17,C0,03,111,4,67,40
fara-7b,ArXiv--17,C0,01,121,4,77,40
fara-7b,Booking--3,C0,02,504,52,284,168
fara-7b,Booking--3,C0,03,560,55,318,187
fara-7b,Booking--3,C0,01,594,54,347,193
fara-7b,Huggingface--14,C0,01,37,0,35,2
fara-7b,Google_Search--28,C0,02,2726,167,1244,1315
fara-7b,Google_Search--28,C0,03,182,4,129,49
fara-7b,Google_Search--28,C0,01,182,4,132,46
fara-7b,Apple--29,C0,01,380,2,325,53
fara-7b,Google_Flights--34,C0,01,103,0,97,6
fara-7b,Amazon--32,C0,02,1715,53,1597,65
fara-7b,Amazon--32,C0,03,1314,33,1157,124
fara-7b,Amazon--32,C0,01,1133,52,1022,59
fara-7b,GitHub--35,C0,01,241,6,143,92
browser-use,Google_Map--35,C4,01,810,32,643,135
browser-use,Coursera--21,C4,01,209,4,203,2
browser-use,ArXiv--17,C4,01,416,3,371,42
browser-use,Booking--3,C4,01,307,20,235,52
browser-use,Google_Search--28,C4,01,507,3,457,47
browser-use,Amazon--32,C4,01,619,41,491,87
browser-use,Google_Map--35,C6,01,121,18,103,0
browser-use,Coursera--21,C6,01,172,4,166,2
browser-use,ArXiv--17,C6,01,1,0,0,1
browser-use,Booking--3,C6,01,153,5,112,36
browser-use,Google_Search--28,C6,01,1226,94,574,558
browser-use,Amazon--32,C6,01,589,42,466,81
browser-use,Google_Map--35,C7,01,18,0,8,10
browser-use,Coursera--21,C7,01,174,7,165,2
browser-use,ArXiv--17,C7,01,13,0,8,5
browser-use,Booking--3,C7,01,71,0,57,14
browser-use,Google_Search--28,C7,01,18,0,10,8
browser-use,Amazon--32,C7,01,460,45,407,8
browser-use,Google_Map--35,C2,01,19,0,8,11
browser-use,Coursera--21,C2,01,151,2,147,2
browser-use,ArXiv--17,C2,01,29,0,21,8
browser-use,Booking--3,C2,01,335,31,261,43
browser-use,Google_Search--28,C2,01,16,0,8,8
browser-use,Amazon--32,C2,01,522,43,471,8
browser-use,Google_Map--35,C5,01,548,21,484,43
browser-use,Coursera--21,C5,01,165,8,155,2
browser-use,ArXiv--17,C5,01,450,3,406,41
browser-use,Booking--3,C5,01,180,14,115,51
browser-use,Google_Search--28,C5,01,734,12,575,147
browser-use,Amazon--32,C5,01,522,37,406,79
browser-use,Google_Map--35,C8,01,108,24,82,2
browser-use,Coursera--21,C8,01,214,7,205,2
browser-use,ArXiv--17,C8,01,58,0,53,5
browser-use,Booking--3,C8,01,282,16,240,26
browser-use,Google_Search--28,C8,01,2,0,2,0
browser-use,Amazon--32,C8,01,657,51,597,9
browser-use,Google_Map--35,C3,01,56,0,51,5
browser-use,Coursera--21,C3,01,213,8,203,2
browser-use,ArXiv--17,C3,01,1,0,1,0
browser-use,Booking--3,C3,01,266,35,194,37
browser-use,Google_Search--28,C3,01,5,0,2,3
browser-use,Amazon--32,C3,01,623,52,563,8
browser-use,Google_Map--35,C1,01,61,8,53,0
browser-use,Coursera--21,C1,01,212,7,203,2
browser-use,ArXiv--17,C1,01,1,0,0,1
browser-use,Booking--3,C1,01,178,14,114,50
browser-use,Google_Search--28,C1,01,1534,224,655,655
browser-use,Amazon--32,C1,01,475,36,362,77
browser-use,Google_Map--35,C0,01,616,9,537,70
browser-use,Coursera--21,C0,01,167,4,161,2
browser-use,ArXiv--17,C0,01,572,11,490,71
browser-use,Booking--3,C0,01,180,14,117,49
browser-use,Google_Search--28,C0,01,2866,208,1618,1040
browser-use,Amazon--32,C0,01,714,60,574,80
